row_label_raw,row_label_full,col_0,Năm nay,Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Năm nay,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015
,,,VND,VND,,
Doanh thu kinh doanh Ure,Doanh thu kinh doanh Ure,Doanh thu kinh doanh Ure,4.469.266.949.185,5.962.121.975.079,4469266949185.0,5962121975079.0
- Bán trong nước,- Bán trong nước,- Bán trong nước,4.057.791.404.100,5.043.230.014.360,4057791404100.0,5043230014360.0
- Xuất khấu,- Xuất khấu,- Xuất khấu,411.475.545.085,263.823.896.820,411475545085.0,263823896820.0
Doanh thu kinh doanh Amoniac,Doanh thu kinh doanh Amoniac,Doanh thu kinh doanh Amoniac,92.613.549.214,112.730.522.160,92613549214.0,112730522160.0
Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,371.541.205.636,214.323.492.660,371541205636.0,214323492660.0
Doanh thu bán phế phẩm,Doanh thu bán phế phẩm,Doanh thu bán phế phẩm,17.929.529.335,24.240.000.000,17929529335.0,24240000000.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,168.266.364,-,168266364.0,
,,,4.951.519.499.734,5.658.347.926.000,4951519499734.0,5658347926000.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,61.077.760.352,82.425.685.037,61077760352.0,82425685037.0
Giảm giá hàng bán,Các khoản giảm trừ doanh thu > Giảm giá hàng bán,Giảm giá hàng bán,500.500.000,5.042.515.000,500500000.0,5042515000.0
,,,61.578.260.352,87.468.200.037,61578260352.0,87468200037.0
Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 34),Các khoản giảm trừ doanh thu > Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 34),Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 34),1.860.000.000,69.420.000.000,1860000000.0,69420000000.0
