row_label_raw,row_label_full,col_0,Share capital VND,Investment and development fund VND,Retained profits VND,Total VND,numeric__Share capital VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total VND
Balance as at 1 January 2023,Balance as at 1 January 2023,Balance as at 1 January 2023,"6,412,811,860,000","760,819,802,040","13,073,315,740,285","20,246,947,402,325",,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,"4,287,610,598,401","4,287,610,598,401",,,,
Bonus shares (Note 27),Bonus shares (Note 27),Bonus shares (Note 27),"6,412,811,860,000",-,"(6,412,811,860,000)",-,,,,
Cash dividends (Note 27),Cash dividends (Note 27),Cash dividends (Note 27),-,-,"(2,885,765,337,000)","(2,885,765,337,000)",,,,
Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),-,-,"(37,374,000,000)","(37,374,000,000)",,,,
Adjustments to bonus and welfare funds (Note 22),Adjustments to bonus and welfare funds (Note 22),Adjustments to bonus and welfare funds (Note 22),-,-,"508,189,026","508,189,026",,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,"(18,300,000,000)","(18,300,000,000)",,,,
Balance as at 1 January 2024,Balance as at 1 January 2024,Balance as at 1 January 2024,"12,825,623,720,000","760,819,802,040","8,007,183,330,712","21,593,626,852,752",,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,"4,252,730,062,549","4,252,730,062,549",,,,
Cash dividends (Note 27),Cash dividends (Note 27),Cash dividends (Note 27),-,-,"(5,130,249,488,000)","(5,130,249,488,000)",,,,
Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),-,-,"(38,075,000,000)","(38,075,000,000)",,,,
Adjustments to bonus and welfare funds (Note 22),Adjustments to bonus and welfare funds (Note 22),Adjustments to bonus and welfare funds (Note 22),-,-,"1,785,186,648","1,785,186,648",,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,"(21,000,000,000)","(21,000,000,000)",,,,
Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,"12,825,623,720,000","760,819,802,040","7,072,374,091,909","20,658,817,613,949",,,,
