row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,4.224.000.000.000,37.511.718.740,-,-,746.353.532.803,5.007.865.251.543,4224000000000.0,37511718740.0,,,746353532803.0,5007865251543.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,679.004.628.963,679.004.628.963,,,,,679004628963.0,679004628963.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(295.680.000.000),(295.680.000.000),,,,,-295680000000.0,-295680000000.0
Tạm ứng cổ tức năm 2015(Thuyết minh 22),Tạm ứng cổ tức năm 2015(Thuyết minh 22),Tạm ứng cổ tức năm 2015(Thuyết minh 22),-,-,-,-,(211.200.000.000),(211.200.000.000),,,,,-211200000000.0,-211200000000.0
Chuyển nguồn hình thành TSCĐ,Chuyển nguồn hình thành TSCĐ,Chuyển nguồn hình thành TSCĐ,-,3.832.848.441,-,(3.832.848.441),-,-,,3832848441.0,,-3832848441.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,33.543.644.000,(33.543.644.000),-,,,,33543644000.0,-33543644000.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(17.790.772.000),(17.790.772.000),,,,,-17790772000.0,-17790772000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(49.498.182),(49.498.182),,,,,-49498182.0,-49498182.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,4.224.000.000.000,41.344.567.181,-,29.710.795.559,867.094.247.584,5.162.149.610.324,4224000000000.0,41344567181.0,,29710795559.0,867094247584.0,5162149610324.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,471.915.513.502,471.915.513.502,,,,,471915513502.0,471915513502.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(295.680.000.000),(295.680.000.000),,,,,-295680000000.0,-295680000000.0
Chuyển nguồn hình thành TSCĐ,Chuyển nguồn hình thành TSCĐ,Chuyển nguồn hình thành TSCĐ,-,26.443.143.479,-,(26.443.143.479),-,-,,26443143479.0,,-26443143479.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,17.212.462.896,(17.212.462.896),-,,,,17212462896.0,-17212462896.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.747.219.750),(18.747.219.750),,,,,-18747219750.0,-18747219750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,7.331.138.455,-,-,7.331.138.455,,,7331138455.0,,,7331138455.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,4.224.000.000.000,67.787.710.660,7.331.138.455,20.480.114.976,1.007.370.078.440,5.326.969.042.531,4224000000000.0,67787710660.0,7331138455.0,20480114976.0,1007370078440.0,5326969042531.0
