row_label_raw,row_label_full,Công ty,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty mẹ tối cao,
Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,Công ty mẹ,
Bộ Xây dựng,Bộ Xây dựng,Bộ Xây dựng,Cổ đông lớn,
Công ty TNHH MTV Năng lượng Gelex Ninh Thuận,Công ty TNHH MTV Năng lượng Gelex Ninh Thuận,Công ty TNHH MTV Năng lượng Gelex Ninh Thuận,Cùng Tập đoàn,
Công ty Cổ phần Mua bán điện GELEX,Công ty Cổ phần Mua bán điện GELEX,Công ty Cổ phần Mua bán điện GELEX,Cùng Tập đoàn,
Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,Công ty liên doanh đến hết ngày 05 tháng 6 năm 2025; Công ty con kể từ ngày 05 tháng 6 năm 2025,
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty liên doanh,
Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,Công ty liên kết,
Công ty Cổ phần Gốm Xây dựng Yên Hưng,Công ty Cổ phần Gốm Xây dựng Yên Hưng,Công ty Cổ phần Gốm Xây dựng Yên Hưng,Công ty liên kết,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết,
Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty liên kết,
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty liên kết,
Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty liên kết,
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty liên kết,
"Các thành viên trong Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát","Các thành viên trong Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát","Các thành viên trong Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát",Nhân sự chủ chốt,
