row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ quyền sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ quyền sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
,,,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,
1.,1.,1.,Công ty Cổ phần Kính Đáp Cầu,Bắc Ninh,"86,41%","86,41%",Sản xuất và kinh doanh kính,,,0.8641,0.8641,
2.,2.,2.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Tp. Hồ Chí Minh,"65,00%","65,00%",Sản xuất và kinh doanh các sản phẩm kính,,,0.65,0.65,
3.,3.,3.,Công ty TNHH Kính nổi Việt Nam,Bắc Ninh,"100,00%","100,00%",Sản xuất và kinh doanh các sản phẩm kính,,,1.0,1.0,
4.,4.,4.,Công ty Cổ phần Khoáng sản Viglacera,Lào Cai,"51,00%","51,00%",Khai thác và kinh doanh khoáng sản,,,0.51,0.51,
5.,5.,5.,Công ty TNHH MTV Thiết bị vệ sinh Viglacera,Hà Nội,"100,00%","100,00%",Sản xuất và kinh doanh sử vệ sinh và phụ kiện,,,1.0,1.0,
6.,6.,6.,Công ty Cổ phần Viglacera Thăng Long,Phú Thọ,"51,07%","51,07%",Sản xuất và kinh doanh gạch ốp lát,,,0.5107,0.5107,
7.,7.,7.,Công ty Cổ phần Viglacera Tiên Sơn,Bắc Ninh,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
8.,8.,8.,Công ty Cổ phần Viglacera Hà Nội,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
9.,9.,9.,Công ty Cổ phần Bê tông khí Viglacera,Bắc Ninh,"96,19%","96,19%","Sản xuất và kinh doanh gạch, panel, bê tông khí chủng áp",,,0.9619,0.9619,
10.,10.,10.,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00%","Sản xuất và kinh doanh bao bì, má phanh",,,0.51,0.51,
11.,11.,11.,Công ty Cổ phần Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5047999999999999,0.5047999999999999,
12.,12.,12.,Công ty Cổ phần Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5592,0.5592,
13.,13.,13.,Công ty Cổ phần 382 Đông Anh,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
14.,14.,14.,Công ty Cổ phần Gốm Xây dựng Hữu Hưng,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
15.,15.,15.,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,,0.7689,0.7689,
16.,16.,16.,Công ty Cổ phần Viglacera Vân Hải,Quảng Ninh,"98,17%","98,17%","Khai thác và kinh doanh cát, dịch vụ du lịch",,,0.9817,0.9817,
17.,17.,17.,Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ,Hưng Yên,"60,00%","60,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.6,0.6,
18.,18.,18.,Công ty ViMariel - CTCP (**),Cuba,"99,94%","99,95%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.9994,0.9995,
19.,19.,19.,Công ty Cổ phần Viglacera Thái Nguyên (**),Thái Nguyên,"59,94%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.5993999999999999,0.51,
20.,20.,20.,Công ty Cổ phần Viglacera Hưng Yên,Hưng Yên,"51,00%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.51,0.51,
21.,21.,21.,Công ty Cổ phần Viglacera Phú Thọ (**),Phú Thọ,"52,02%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.5202,0.51,
22.,22.,22.,Công ty Cổ phần Đầu tư VIHOCE Tiên Dương,Hà Nội,"55,00%","55,00%",Đầu tư và kinh doanh bất động sản,,,0.55,0.55,
