row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,01/01/2020 > Giá trị,01/01/2020 > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,,,,
- Công ty Cổ phần Thống Nhất 508,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần Thống Nhất 508,- Công ty Cổ phần Thống Nhất 508,2.239.847.346,2.239.847.346,2.239.847.346,2.239.847.346,2239847346.0,2239847346.0,2239847346.0,2239847346.0
- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,5.346.065.332,5.346.065.332,5.346.065.332,5.346.065.332,5346065332.0,5346065332.0,5346065332.0,5346065332.0
- Công ty TNHH VNT,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH VNT,- Công ty TNHH VNT,-,-,1.278.702.061,1.278.702.061,,,1278702061.0,1278702061.0
- Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC - Công ty TNHH MTV,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC - Công ty TNHH MTV,- Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC - Công ty TNHH MTV,1.240.670.171,1.240.670.171,1.240.670.171,1.240.670.171,1240670171.0,1240670171.0,1240670171.0,1240670171.0
- Chi nhánh Công ty Cổ phần cửa sở Nhựa Châu Âu tại Đà Nẵng,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Chi nhánh Công ty Cổ phần cửa sở Nhựa Châu Âu tại Đà Nẵng,- Chi nhánh Công ty Cổ phần cửa sở Nhựa Châu Âu tại Đà Nẵng,-,-,2.200.000.001,2.200.000.001,,,2200000001.0,2200000001.0
- Công ty Cổ phần MGM Nha Trang,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần MGM Nha Trang,- Công ty Cổ phần MGM Nha Trang,5.119.660.505,5.119.660.505,5.119.660.505,5.119.660.505,5119660505.0,5119660505.0,5119660505.0,5119660505.0
- Phải trả các đối tượng khác,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Phải trả các đối tượng khác,- Phải trả các đối tượng khác,30.578.436.629,30.578.436.629,45.020.773.975,45.020.773.975,30578436629.0,30578436629.0,45020773975.0,45020773975.0
,,,44.524.679.983,44.524.679.983,62.445.719.391,62.445.719.391,44524679983.0,44524679983.0,62445719391.0,62445719391.0
