row_label_raw,row_label_full,col_0,Tàu bay vàcác bộ phậnVND,Máy móc vàthiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Tàu bay vàcác bộ phậnVND,numeric__Máy móc vàthiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.869.439.499.382,22.488.636.024,23.967.643.445,18.539.166.476,1.934.434.945.327,1869439499382.0,22488636024.0,23967643445.0,18539166476.0,1934434945327.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.952.339.600,1.479.473.031,1.299.855.090,4.731.667.721,,1952339600.0,1479473031.0,1299855090.0,4731667721.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,553.403.497.996,-,-,-,553.403.497.996,553403497996.0,,,,553403497996.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(805.449.243.904),-,-,-,(805.449.243.904),-805449243904.0,,,,-805449243904.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.617.393.753.474,24.440.975.624,25.447.116.476,19.839.021.566,1.687.120.867.140,1617393753474.0,24440975624.0,25447116476.0,19839021566.0,1687120867140.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,248.308.137.207,16.562.626.105,13.399.564.434,13.975.082.048,292.245.409.794,248308137207.0,16562626105.0,13399564434.0,13975082048.0,292245409794.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,164.584.967.879,4.436.893.515,2.167.516.137,2.046.664.322,173.236.041.853,164584967879.0,4436893515.0,2167516137.0,2046664322.0,173236041853.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(79.398.676.346),-,-,-,(79.398.676.346),-79398676346.0,,,,-79398676346.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,333.494.428.740,20.999.519.620,15.567.080.571,16.021.746.370,386.082.775.301,333494428740.0,20999519620.0,15567080571.0,16021746370.0,386082775301.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.621.131.362.175,5.926.009.919,10.568.079.011,4.564.084.428,1.642.189.535.533,1621131362175.0,5926009919.0,10568079011.0,4564084428.0,1642189535533.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.283.899.324.734,3.441.456.004,9.880.035.905,3.817.275.196,1.301.038.091.839,1283899324734.0,3441456004.0,9880035905.0,3817275196.0,1301038091839.0
