row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng triệu đồng
,,,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 đến 3 tháng triệu đồng,Từ 3 đến 12 tháng triệu đồng,Từ 1 đến 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,3.675.394,-,-,-,-,3.675.394,,,3675394.0,,,,,3675394.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,66.321.652,-,-,-,-,66.321.652,,,66321652.0,,,,,66321652.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,20.204.609,19.723.605,4.338.049,2.082.977,-,46.349.240,,,20204609.0,19723605.0,4338049.0,2082977.0,,46349240.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,44.251.400,-,-,-,-,44.251.400,,,44251400.0,,,,,44251400.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,22.776,113.886,58.966,(54.334),-,141.294,,,22776.0,113886.0,58966.0,-54334.0,,141294.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),14.600.269,5.929.554,28.001.636,92.831.782,230.019.271,122.620.934,118.894.247,612.897.693,14600269.0,5929554.0,28001636.0,92831782.0,230019271.0,122620934.0,118894247.0,612897693.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),226.635,-,2.393.010,17.595.159,23.483.843,38.835.644,65.864.372,148.398.663,226635.0,,2393010.0,17595159.0,23483843.0,38835644.0,65864372.0,148398663.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,779.587,-,779.587,,,,,,779587.0,,779587.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,5.094.480,-,5.094.480,,,,,,5094480.0,,5094480.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),210.131,-,25.632.441,372.089,2.924.561,249.251,4.547,29.393.020,210131.0,,25632441.0,372089.0,2924561.0,249251.0,4547.0,29393020.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),15.037.035,5.929.554,190.502.918,130.636.521,260.824.690,169.608.539,184.763.166,957.302.423,15037035.0,5929554.0,190502918.0,130636521.0,260824690.0,169608539.0,184763166.0,957302423.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
