row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn > Trên3 tháng,Quá hạn > Đến3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ1 - 3 tháng,Trong hạn > Từ3 - 12 tháng,Trong hạn > Từ1 - 5 năm,Trong hạn > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quá hạn > Trên3 tháng,numeric__Quá hạn > Đến3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ1 - 3 tháng,numeric__Trong hạn > Từ3 - 12 tháng,numeric__Trong hạn > Từ1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bac, đá quý","Tải sản > Tiền mặt, vàng bac, đá quý","Tiền mặt, vàng bac, đá quý",-,-,963.692,-,-,-,-,963.692,,,963692.0,,,,,963692.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,11.299.610,-,-,-,-,11.299.610,,,11299610.0,,,,,11299610.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,62.501.443,8.872.520,2.000.000,-,-,73.373.963,,,62501443.0,8872520.0,2000000.0,,,73373963.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,8.868.966,-,-,-,-,8.868.966,,,8868966.0,,,,,8868966.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),3.325.320,1.263.073,16.769.054,28.803.628,107.149.596,26.515.114,21.203.584,205.029.369,3325320.0,1263073.0,16769054.0,28803628.0,107149596.0,26515114.0,21203584.0,205029369.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),319.364,-,2.000.000,275.795,650.199,2.600.969,13.946.877,19.793.204,319364.0,,2000000.0,275795.0,650199.0,2600969.0,13946877.0,19793204.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,2.819.070,2.819.070,,,,,,,2819070.0,2819070.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.364.327,1.364.327,,,,,,,1364327.0,1364327.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),26.949,-,664.265,496.589,3.142.825,1.301.724,719.490,6.351.842,26949.0,,664265.0,496589.0,3142825.0,1301724.0,719490.0,6351842.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,3.671.633,1.263.073,103.067.030,38.448.532,112.942.620,30.417.807,40.053.348,329.864.043,3671633.0,1263073.0,103067030.0,38448532.0,112942620.0,30417807.0,40053348.0,329864043.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,2.113,2.062.370,-,-,2.064.483,,,,2113.0,2062370.0,,,2064483.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,48.927.481,16.184.833,7.587.034,11.303.445,1.905.075,85.907.868,,,48927481.0,16184833.0,7587034.0,11303445.0,1905075.0,85907868.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,32.377.751,40.974.795,88.147.661,7.345.367,547,168.846.121,,,32377751.0,40974795.0,88147661.0,7345367.0,547.0,168846121.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(28.368),(149.257),308.005,173.194,-,303.574,,,-28368.0,-149257.0,308005.0,173194.0,,303574.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,500.000,-,26.000.200,3.950.000,-,30.450.200,,,500000.0,,26000200.0,3950000.0,,30450200.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,545.239,667.830,2.718.860,261.136,16.137,4.209.202,,,545239.0,667830.0,2718860.0,261136.0,16137.0,4209202.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,82.322.103,57.680.314,126.824.130,23.033.142,1.921.759,291.781.448,,,82322103.0,57680314.0,126824130.0,23033142.0,1921759.0,291781448.0
Mức chênh lệch thanh khoản ròng,Nợ phải trả > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,3.671.633,1.263.073,20.744.927,(19.231.782),(13.881.510),7.384.665,38.131.589,38.082.595,3671633.0,1263073.0,20744927.0,-19231782.0,-13881510.0,7384665.0,38131589.0,38082595.0
