row_label_raw,row_label_full,Tên đơn vị,Ngày 31 tháng 12 năm 2016 > Tỷ lệ lợi ích (%),Ngày 31 tháng 12 năm 2016 > Tỷ lệ quyền biểu quyết (%),Ngày 1 tháng 9 năm 2016 > Tỷ lệ lợi ích (%),Ngày 1 tháng 9 năm 2016 > Tỷ lệ quyền biểu quyết (%),numeric__Ngày 31 tháng 12 năm 2016 > Tỷ lệ lợi ích (%),numeric__Ngày 31 tháng 12 năm 2016 > Tỷ lệ quyền biểu quyết (%),numeric__Ngày 1 tháng 9 năm 2016 > Tỷ lệ lợi ích (%),numeric__Ngày 1 tháng 9 năm 2016 > Tỷ lệ quyền biểu quyết (%)
Công ty Cổ phần 19/5 Đoàn Hùng,Công ty Cổ phần 19/5 Đoàn Hùng,Công ty Cổ phần 19/5 Đoàn Hùng,"49,01%","49,01%","49,01%","49,01%",0.4901,0.4901,0.4901,0.4901
Công ty Cổ phần Cơ khí Lâm nghiệp Sải Gòn,Công ty Cổ phần Cơ khí Lâm nghiệp Sải Gòn,Công ty Cổ phần Cơ khí Lâm nghiệp Sải Gòn,"31,07%","31,07%","31,07%","31,07%",0.3107,0.3107,0.3107,0.3107
Công ty Cổ phần Cơ Đỏ,Công ty Cổ phần Cơ Đỏ,Công ty Cổ phần Cơ Đỏ,"45,78%","45,78%","45,78%","45,78%",0.4578,0.4578,0.4578,0.4578
Công ty Cổ phần Formach,Công ty Cổ phần Formach,Công ty Cổ phần Formach,"27,78%","27,78%","27,78%","27,78%",0.2778,0.2778,0.2778,0.2778
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty Cổ phần Lâm đặc sản Máy tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Máy tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Máy tre xuất khẩu,"35,00%","35,00%","35,00%","35,00%",0.35,0.35,0.35,0.35
Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty Cổ phần Lâm nghiệp Miền Đông,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty Cổ phần Lâm sản Forprodex,Công ty Cổ phần Lâm sản Forprodex,Công ty Cổ phần Lâm sản Forprodex,"27,25%","27,25%","27,25%","27,25%",0.2725,0.2725,0.2725,0.2725
Công ty Cổ phần Sản xuất & Xuất nhập khẩu Lâm sản Naforimex Hà Nội,Công ty Cổ phần Sản xuất & Xuất nhập khẩu Lâm sản Naforimex Hà Nội,Công ty Cổ phần Sản xuất & Xuất nhập khẩu Lâm sản Naforimex Hà Nội,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty Cổ phần Xuất nhập khẩu Nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Nông sản Sài Gòn,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty Cổ phần Xây lắp đầu tư Phát triển Nông làm nghiệp Việt Nam,Công ty Cổ phần Xây lắp đầu tư Phát triển Nông làm nghiệp Việt Nam,Công ty Cổ phần Xây lắp đầu tư Phát triển Nông làm nghiệp Việt Nam,"20,00%","20,00%","20,00%","20,00%",0.2,0.2,0.2,0.2
Công ty Cổ phần Giống Lâm nghiệp Trung ương,Công ty Cổ phần Giống Lâm nghiệp Trung ương,Công ty Cổ phần Giống Lâm nghiệp Trung ương,"48,10%","48,10%","48,10%","48,10%",0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004
Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,"15,56%","30,10%","15,56%","30,10%",0.15560000000000002,0.301,0.15560000000000002,0.301
Công ty TINHH MĐF-Vinafor Tân An Hòa Bình,Công ty TINHH MĐF-Vinafor Tân An Hòa Bình,Công ty TINHH MĐF-Vinafor Tân An Hòa Bình,"49,00%","49,00%","49,00%","49,00%",0.49,0.49,0.49,0.49
