row_label_raw,row_label_full,2016,Giá trị phải thu khó đòi VND,Số dự phòng đầu năm VND,Trích lập/ (Hoàn nhập) trong năm VND,Sử dụng dự phòng VND,Số dự phòng cuối năm VND,numeric__Giá trị phải thu khó đòi VND,numeric__Số dự phòng đầu năm VND,numeric__Trích lập/ (Hoàn nhập) trong năm VND,numeric__Sử dụng dự phòng VND,numeric__Số dự phòng cuối năm VND
Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,,,,,
Phải thu từ các thỏa thuận hỗ trợ tài chính cho nhà đầu tư,Phải thu các dịch vụ cung cấp > Phải thu từ các thỏa thuận hỗ trợ tài chính cho nhà đầu tư,Phải thu từ các thỏa thuận hỗ trợ tài chính cho nhà đầu tư,156.844.687.628,116.403.697.557,7.281.596.670,-,123.685.294.227,156844687628.0,116403697557.0,7281596670.0,,123685294227.0
Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,Phải thu các dịch vụ cung cấp > Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,341.248.519.667,13.372.271.300,38.686.395.517,(43.572.235),52.015.094.582,341248519667.0,13372271300.0,38686395517.0,-43572235.0,52015094582.0
Phải thu theo các cam kết mua và bán lại chứng khoán,Phải thu các dịch vụ cung cấp > Phải thu theo các cam kết mua và bán lại chứng khoán,Phải thu theo các cam kết mua và bán lại chứng khoán,44.233.908.358,46.143.204.449,(1.904.896.091),(4.400.000),44.233.908.358,44233908358.0,46143204449.0,-1904896091.0,-4400000.0,44233908358.0
Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,Phải thu các dịch vụ cung cấp > Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,12.407.900.000,910.400.000,98.850.000,-,1.009.250.000,12407900000.0,910400000.0,98850000.0,,1009250000.0
Phải thu của khách hàng sử dụng dịch vụ khác,Phải thu các dịch vụ cung cấp > Phải thu của khách hàng sử dụng dịch vụ khác,Phải thu của khách hàng sử dụng dịch vụ khác,42.825.481.729,32.530.038.800,1.033.750.000,-,33.563.788.800,42825481729.0,32530038800.0,1033750000.0,,33563788800.0
,,,597.560.497.382,209.359.612.106,45.195.696.096,(47.972.235),254.507.335.967,597560497382.0,209359612106.0,45195696096.0,-47972235.0,254507335967.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,,,,,
Lãi dự thu,Các khoản phải thu khác > Lãi dự thu,Lãi dự thu,245.870.272.885,231.450.999.450,8.713.482.781,(6.512.572.421),233.651.909.810,245870272885.0,231450999450.0,8713482781.0,-6512572421.0,233651909810.0
Phải thu khác,Các khoản phải thu khác > Phải thu khác,Phải thu khác,76.778.883.077,11.221.213.844,13.976.851.351,-,25.198.065.195,76778883077.0,11221213844.0,13976851351.0,,25198065195.0
,,,322.649.155.962,242.672.213.294,22.690.334.132,(6.512.572.421),258.849.975.005,322649155962.0,242672213294.0,22690334132.0,-6512572421.0,258849975005.0
,,,920.209.653.344,452.031.825.400,67.886.030.228,(6.560.544.656),513.357.310.972,920209653344.0,452031825400.0,67886030228.0,-6560544656.0,513357310972.0
