row_label_raw,row_label_full,col_0,Địa chỉ,Số lượng cổ phiếu,% sở hữu,% quyền biểu quyết,31/12/2018 > Giá gốc VND,31/12/2018 > Dự phòng VND,31/12/2018 > Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng cổ phiếu,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2018 > Giá gốc VND,numeric__31/12/2018 > Dự phòng VND,numeric__31/12/2018 > Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,
- Công ty Cổ phần Hà Đô 1 (i),Công ty con > - Công ty Cổ phần Hà Đô 1 (i),- Công ty Cổ phần Hà Đô 1 (i),Hà Nội,2.561.323,51%,51%,23.382.120.000,-,(*),,2561323.0,0.51,0.51,23382120000.0,,
- Công ty Cổ phần Hà Đô 45 (ii) (**),Công ty con > - Công ty Cổ phần Hà Đô 45 (ii) (**),- Công ty Cổ phần Hà Đô 45 (ii) (**),TP. Hồ Chí Minh,520.898,51%,51%,5.208.980.000,-,(*),,520898.0,0.51,0.51,5208980000.0,,
- Công ty Cổ phần Đầu tư Khánh Hà,Công ty con > - Công ty Cổ phần Đầu tư Khánh Hà,- Công ty Cổ phần Đầu tư Khánh Hà,Nha Trang,17.024.089,65%,65%,170.240.885.000,-,(*),,17024089.0,0.65,0.65,170240885000.0,,
- Công ty Cổ phần Hà Đô - 756 Sài Gòn,Công ty con > - Công ty Cổ phần Hà Đô - 756 Sài Gòn,- Công ty Cổ phần Hà Đô - 756 Sài Gòn,TP. Hồ Chí Minh,28.350.000,63%,63%,283.500.000.000,-,(*),,28350000.0,0.63,0.63,283500000000.0,,
- Công ty Cổ phần Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô (**),Công ty con > - Công ty Cổ phần Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô (**),- Công ty Cổ phần Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô (**),Hà Nội,1.025.000,51%,51%,3.570.000.000,-,(*),,1025000.0,0.51,0.51,3570000000.0,,
- Công ty Cổ phần Za Hưng (i) (**) (***),Công ty con > - Công ty Cổ phần Za Hưng (i) (**) (***),- Công ty Cổ phần Za Hưng (i) (**) (***),Hà Nội,37.783.601,52%,52%,371.629.000.000,-,(*),,37783601.0,0.52,0.52,371629000000.0,,
- Công ty Cổ phần Thủy điện Sông Tranh 4,Công ty con > - Công ty Cổ phần Thủy điện Sông Tranh 4,- Công ty Cổ phần Thủy điện Sông Tranh 4,Quảng Nam,9.180.000,34%,85%,96.794.654.400,-,(*),,9180000.0,0.34,0.85,96794654400.0,,
- Công ty Cổ phần Hà Đô Bình Thuận (iii),Công ty con > - Công ty Cổ phần Hà Đô Bình Thuận (iii),- Công ty Cổ phần Hà Đô Bình Thuận (iii),Bình Thuận,22.800.000,76%,90%,228.000.000.000,-,(*),,22800000.0,0.76,0.9,228000000000.0,,
- Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,Công ty con > - Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,- Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,"Viên Chăn, Lào",,100%,100%,181.634.006.722,-,(*),,,1.0,1.0,181634006722.0,,
- Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (iv),Công ty con > - Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (iv),- Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (iv),TP. Hồ Chí Minh,,100%,100%,1.047.111.908,-,(*),,,1.0,1.0,1047111908.0,,
- Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (v),Công ty con > - Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (v),- Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (v),TP. Hồ Chí Minh,25.740.000,99%,99%,232.879.000.000,-,(*),,25740000.0,0.99,0.99,232879000000.0,,
- Công ty Cổ phần Thiết Bộ Giáo Dục 1 (vi),Công ty con > - Công ty Cổ phần Thiết Bộ Giáo Dục 1 (vi),- Công ty Cổ phần Thiết Bộ Giáo Dục 1 (vi),Hà Nội,1.202.527,51%,51%,109.690.910.000,-,(*),,1202527.0,0.51,0.51,109690910000.0,,
,,,,,,,1.707.576.668.030,-,,,,,,1707576668030.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
- Công ty Cổ phần Năng lượng Agrita - Quảng Nam (i),Công ty liên kết > - Công ty Cổ phần Năng lượng Agrita - Quảng Nam (i),- Công ty Cổ phần Năng lượng Agrita - Quảng Nam (i),Quảng Nam,14.261.542,44%,49%,267.982.250.392,-,(*),,14261542.0,0.44,0.49,267982250392.0,,
