row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019_1,Tại ngày 31 tháng 12 năm 2019_2,Tại ngày 31 tháng 12 năm 2019_3,Tại ngày 31 tháng 12 năm 2019_4,numeric__Tại ngày 31 tháng 12 năm 2019_1,numeric__Tại ngày 31 tháng 12 năm 2019_2,numeric__Tại ngày 31 tháng 12 năm 2019_3,numeric__Tại ngày 31 tháng 12 năm 2019_4
,,,Kinh doanh chuyển nhượng bất động sảnTriệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quanTriệu VND,KhácTriệu VND,Hợp nhấtTriệu VND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.238.846,31.969.164,344.473,33.552.483,1238846.0,31969164.0,344473.0,33552483.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,2.286.207,,,,2286207.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,35.838.690,,,,35838690.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.086.894,3.469.405,64.144,5.620.443,2086894.0,3469405.0,64144.0,5620443.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,3.264.740,,,,3264740.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,8.885.183,,,,8885183.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,
Chỉ tiêu vốn,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Chỉ tiêu vốn,Chỉ tiêu vốn,-,2.526.693,2.153,2.528.846,,2526693.0,2153.0,2528846.0
Khẩu hao tài sản cố định hữu hình,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,-,19.296,17.052,36.348,,19296.0,17052.0,36348.0
Phân bổ tài sản cố định vô hình và lợi thế thương mại,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Phân bổ tài sản cố định vô hình và lợi thế thương mại,Phân bổ tài sản cố định vô hình và lợi thế thương mại,-,79.750,-,79.750,,79750.0,,79750.0
Khẩu hao bất động sản đầu tư,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Khẩu hao bất động sản đầu tư,Khẩu hao bất động sản đầu tư,-,1.329.865,1.361,1.331.226,,1329865.0,1361.0,1331226.0
