row_label_raw,row_label_full,col_0,31/12/2025VND,31/12/2024VND(dã điều chỉnh lại),numeric__31/12/2025VND,numeric__31/12/2024VND(dã điều chỉnh lại)
Xây dựng cơ bản dở dang (i),Xây dựng cơ bản dở dang (i),Xây dựng cơ bản dở dang (i),Xây dựng cơ bản dở dang (i),Xây dựng cơ bản dở dang (i),,
"Trụ sở, văn phòng làm việc","Xây dựng cơ bản dở dang (i) > Trụ sở, văn phòng làm việc","Trụ sở, văn phòng làm việc",2.022.107.741.760,1.784.609.000.099,2022107741760.0,1784609000099.0
Thiết bị và chi phí nâng cấp tài sản thuê,Xây dựng cơ bản dở dang (i) > Thiết bị và chi phí nâng cấp tài sản thuê,Thiết bị và chi phí nâng cấp tài sản thuê,4.558.292.474,57.531.870.043,4558292474.0,57531870043.0
Phần mềm máy tính,Xây dựng cơ bản dở dang (i) > Phần mềm máy tính,Phần mềm máy tính,1.151.123.013,13.814.346.225,1151123013.0,13814346225.0
"Chi phí sửa chữa, nâng cấp","Xây dựng cơ bản dở dang (i) > Chi phí sửa chữa, nâng cấp","Chi phí sửa chữa, nâng cấp",7.100.709.367,22.357.130.376,7100709367.0,22357130376.0
,,,2.034.917.866.614,1.878.312.346.743,2034917866614.0,1878312346743.0
Phải thu nội bộ,Xây dựng cơ bản dở dang (i) > Phải thu nội bộ,Phải thu nội bộ,84.364.086.169,222.785.862.455,84364086169.0,222785862455.0
Phải thu bên ngoài,Phải thu bên ngoài,Phải thu bên ngoài,Phải thu bên ngoài,Phải thu bên ngoài,,
Phải thu từ dịch vụ thanh toán,Phải thu bên ngoài > Phải thu từ dịch vụ thanh toán,Phải thu từ dịch vụ thanh toán,203.168.816.470,254.597.174.827,203168816470.0,254597174827.0
Tạm ứng án phí,Phải thu bên ngoài > Tạm ứng án phí,Tạm ứng án phí,157.596.316.744,110.667.894.361,157596316744.0,110667894361.0
Đặt cọc thuê nhà và ký quỹ hoạt động khác,Phải thu bên ngoài > Đặt cọc thuê nhà và ký quỹ hoạt động khác,Đặt cọc thuê nhà và ký quỹ hoạt động khác,65.427.572.282,63.168.780.509,65427572282.0,63168780509.0
Phải thu từ hoạt động bán nợ,Phải thu bên ngoài > Phải thu từ hoạt động bán nợ,Phải thu từ hoạt động bán nợ,64.755.886.106,-,64755886106.0,
Phải thu hợp tác đầu tư (*),Phải thu bên ngoài > Phải thu hợp tác đầu tư (*),Phải thu hợp tác đầu tư (*),20.933.045.052,53.600.286.469,20933045052.0,53600286469.0
Thuế phải thu (Thuyết minh 23),Phải thu bên ngoài > Thuế phải thu (Thuyết minh 23),Thuế phải thu (Thuyết minh 23),14.132.130.355,42.227.642.765,14132130355.0,42227642765.0
Phải thu từ thư tín dụng trả chậm có điều khoản thanh toán ngay,Phải thu bên ngoài > Phải thu từ thư tín dụng trả chậm có điều khoản thanh toán ngay,Phải thu từ thư tín dụng trả chậm có điều khoản thanh toán ngay,-,131.809.445.394,,131809445394.0
Các khoản phải thu khác,Phải thu bên ngoài > Các khoản phải thu khác,Các khoản phải thu khác,78.018.834.676,109.869.048.085,78018834676.0,109869048085.0
,,,604.032.601.685,765.940.272.410,604032601685.0,765940272410.0
,,,2.723.314.554.468,2.867.038.481.608,2723314554468.0,2867038481608.0
