row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025 > Quá hạn VND,Tại ngày 31 tháng 12 năm 2025 > Không nhạy cảm với lãi suất VND,Tại ngày 31 tháng 12 năm 2025 > Dưới 1 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến 3 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 3 đến 6 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến 12 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 1 đến 5 năm VND,Tại ngày 31 tháng 12 năm 2025 > Trên 5 năm VND,Tại ngày 31 tháng 12 năm 2025 > Tổng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Quá hạn VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Không nhạy cảm với lãi suất VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Dưới 1 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến 3 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 3 đến 6 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến 12 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 1 đến 5 năm VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Trên 5 năm VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng VND
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,35.712.004.743,7.253.126.396.717,-,-,-,-,-,-,7.288.838.401.460,35712004743.0,7253126396717.0,,,,,,,7288838401460.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),6.776.852.856.963,18.359.638.723.486,81.084.259.152.293,63.872.142.774.112,79.476.028.655.564,47.549.676.366.464,18.806.641.659.726,11.210.000.000.000,327.135.240.188.608,6776852856963.0,18359638723486.0,81084259152293.0,63872142774112.0,79476028655564.0,47549676366464.0,18806641659726.0,11210000000000.0,327135240188608.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,7.847.510.824.971,-,55.107.215.927,-,-,-,7.902.618.040.898,,,7847510824971.0,,55107215927.0,,,,7902618040898.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,8.434.251.675,52.801.193.500.000,2.000.000.000.000,-,-,-,-,54.809.627.751.675,,8434251675.0,52801193500000.0,2000000000000.0,,,,,54809627751675.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,51.279.174.909.738,36.597.984.885.006,42.235.570.910.745,14.487.404.756.663,5.955.189.274.745,345.244.415,150.555.669.981.312,,,51279174909738.0,36597984885006.0,42235570910745.0,14487404756663.0,5955189274745.0,345244415.0,150555669981312.0
"Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,2.198.893.506.355,3.402.231.800.000,-,656.837.500.000,316.648.485,-,6.258.279.454.840,,,2198893506355.0,3402231800000.0,,656837500000.0,316648485.0,,6258279454840.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,70.500.000.000,500.000.000.000,8.000.000.000.000,17.100.000.000.000,39.000.000.000.000,-,64.670.500.000.000,,,70500000000.0,500000000000.0,8000000000000.0,17100000000000.0,39000000000000.0,,64670500000000.0
Các khoản nợ khác - gộp,Nợ phải trả > Các khoản nợ khác - gộp,Các khoản nợ khác - gộp,-,5.353.571.945.843,-,-,-,-,-,-,5.353.571.945.843,,5353571945843.0,,,,,,,5353571945843.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,5.362.006.197.518,114.197.272.741.064,42.500.216.685.006,50.290.678.126.672,32.244.242.256.663,44.955.505.923.230,345.244.415,289.550.267.174.568,,5362006197518.0,114197272741064.0,42500216685006.0,50290678126672.0,32244242256663.0,44955505923230.0,345244415.0,289550267174568.0
Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],6.776.852.856.963,12.997.632.525.968,(33.113.013.588.771),21.371.926.089.106,29.185.350.528.892,15.305.434.109.801,(26.148.864.263.504),11.209.654.755.585,37.584.973.014.040,6776852856963.0,12997632525968.0,-33113013588771.0,21371926089106.0,29185350528892.0,15305434109801.0,-26148864263504.0,11209654755585.0,37584973014040.0
Các cam kết ngoại bảng có tác động tới lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới lãi suất của các tài sản và công nợ (ròng),-,-,9.035.828.290,-,-,-,-,-,9.035.828.290,,,9035828290.0,,,,,,9035828290.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,6.776.852.856.963,12.997.632.525.968,(33.103.977.760.481),21.371.926.089.106,29.185.350.528.892,15.305.434.109.801,(26.148.864.263.504),11.209.654.755.585,37.594.008.842.330,6776852856963.0,12997632525968.0,-33103977760481.0,21371926089106.0,29185350528892.0,15305434109801.0,-26148864263504.0,11209654755585.0,37594008842330.0
