row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn > Trên 3 tháng VND,Quá hạn > Đến 3 tháng VND,Quá hạn > Đến 1 tháng VND,Trong hạn > Từ trên 1 đến 3 tháng VND,Trong hạn > Từ trên 3 đến 12 tháng VND,Trong hạn > Từ 1 đến 5 năm VND,Trong hạn > Trên 5 năm VND,Trong hạn > Tổng VND,numeric__Quá hạn > Trên 3 tháng VND,numeric__Quá hạn > Đến 3 tháng VND,numeric__Quá hạn > Đến 1 tháng VND,numeric__Trong hạn > Từ trên 1 đến 3 tháng VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng VND,numeric__Trong hạn > Từ 1 đến 5 năm VND,numeric__Trong hạn > Trên 5 năm VND,numeric__Trong hạn > Tổng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,787.773.771.826,-,-,-,-,787.773.771.826,,,787773771826.0,,,,,787773771826.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.377.473.012.237,-,-,-,-,2.377.473.012.237,,,2377473012237.0,,,,,2377473012237.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,36.490.627.257.631,2.525.845.000.000,-,109.727.000.000,-,39.126.199.257.631,,,36490627257631.0,2525845000000.0,,109727000000.0,,39126199257631.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,5.495.106.007.177,1.276.165.784.976,7.344.230.025.038,11.576.533.545.672,31.912.297.583.246,43.358.874.544.505,74.960.484.472.417,175.923.691.963.031,5495106007177.0,1276165784976.0,7344230025038.0,11576533545672.0,31912297583246.0,43358874544505.0,74960484472417.0,175923691963031.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,-,50.679.985.651,29.680.452.385.902,3.557.721.984.057,19.346.756.171.847,52.635.610.527.457,,,,50679985651.0,29680452385902.0,3557721984057.0,19346756171847.0,52635610527457.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,-,-,-,-,-,25.000.000.000,25.000.000.000,,,,,,,25000000000.0,25000000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,629.786.003.479,629.786.003.479,,,,,,,629786003479.0,629786003479.0
Tài sản cố khác - gộp,Tài sản > Tài sản cố khác - gộp,Tài sản cố khác - gộp,4.800.000.000,-,391.897.698.577,103.408.902.509,1.145.157.582.134,3.248.521.090.430,2.750.219.698.002,7.644.004.971.652,4800000000.0,,391897698577.0,103408902509.0,1145157582134.0,3248521090430.0,2750219698002.0,7644004971652.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),5.499.906.007.177,1.276.165.784.976,47.392.001.765.309,14.256.467.433.832,62.737.907.551.282,50.274.844.618.992,97.712.246.345.745,279.149.539.507.313,5499906007177.0,1276165784976.0,47392001765309.0,14256467433832.0,62737907551282.0,50274844618992.0,97712246345745.0,279149539507313.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,3.393.187.130.601,-,76.348.421.538,-,-,3.469.535.552.139,,,3393187130601.0,,76348421538.0,,,3469535552139.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,41.822.856.617.208,2.987.935.273.199,102.343.594.411,95.145.720.680,-,45.008.281.205.498,,,41822856617208.0,2987935273199.0,102343594411.0,95145720680.0,,45008281205498.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,54.132.492.802.768,33.025.502.177.077,49.198.346.215.948,6.126.003.248.390,474.157.712,142.482.818.601.895,,,54132492802768.0,33025502177077.0,49198346215948.0,6126003248390.0,474157712.0,142482818601895.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(24.136.099.162),(152.757.783.013),533.156.540.019,-,-,356.262.657.844,,,-24136099162.0,-152757783013.0,533156540019.0,,,356262657844.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,5.954.805.000,45.852.880.760,5.890.275.823.635,-,5.942.083.509.395,,,,5954805000.0,45852880760.0,5890275823635.0,,5942083509395.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,200.312.500.000,59.200.000.000,13.230.900.000.000,30.520.300.000.000,-,44.010.712.500.000,,,200312500000.0,59200000000.0,13230900000000.0,30520300000000.0,,44010712500000.0
Các khoản nợ khác - gộp,Nợ phải trả > Các khoản nợ khác - gộp,Các khoản nợ khác - gộp,-,-,483.635.328.459,662.413.296.891,1.753.879.731.089,669.248.641.330,2.091.027,3.569.179.088.796,,,483635328459.0,662413296891.0,1753879731089.0,669248641330.0,2091027.0,3569179088796.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,100.008.348.279.874,36.588.247.769.154,64.940.827.383.765,43.300.973.434.035,476.248.739,244.838.873.115.567,,,100008348279874.0,36588247769154.0,64940827383765.0,43300973434035.0,476248739.0,244838873115567.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],5.499.906.007.177,1.276.165.784.976,(52.616.346.514.565),(22.331.780.335.322),(2.202.919.832.483),6.973.871.184.957,97.711.770.097.006,34.310.666.391.746,5499906007177.0,1276165784976.0,-52616346514565.0,-22331780335322.0,-2202919832483.0,6973871184957.0,97711770097006.0,34310666391746.0
