row_label_raw,row_label_full,Year ended 31 December 2025,Land use rights VND,Software VND,Total VND,numeric__Land use rights VND,numeric__Software VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,,,
Opening balance,Opening balance,Opening balance,"139,550,154,948","496,394,790,187","635,944,945,135",,,
Additions during the year,Additions during the year,Additions during the year,"1,000,000,000","28,406,502,078","29,406,502,078",,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,"96,520,000,000","15,422,801,497","111,942,801,497",,,
Reclassification,Reclassification,Reclassification,"18,043,159,912",-,"18,043,159,912",,,
Disposals,Disposals,Disposals,"(2,765,051,000)",-,"(2,765,051,000)",,,
Closing balance,Closing balance,Closing balance,"252,348,263,860","540,224,093,762","792,572,357,622",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"2,915,476,323","344,543,350,529","347,458,826,852",,,
Charge for the year,Charge for the year,Charge for the year,"163,754,844","49,571,799,520","49,735,554,364",,,
Reclassification,Reclassification,Reclassification,-,"83,967,686","83,967,686",,,
Closing balance,Closing balance,Closing balance,"3,079,231,167","394,199,117,735","397,278,348,902",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening balance,Opening balance,Opening balance,"136,634,678,625","151,851,439,658","288,486,118,283",,,
Closing balance,Closing balance,Closing balance,"249,269,032,693","146,024,976,027","395,294,008,720",,,
