row_label_raw,row_label_full,Tiền gửi tại Ngân hàng,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,31/12/2018,31/12/2017,,
Số dư tiền gửi bình quân tháng trước của:Khách hàng:,Số dư tiền gửi bình quân tháng trước của:Khách hàng:,Số dư tiền gửi bình quân tháng trước của:Khách hàng:,,,,
▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,Số dư tiền gửi bình quân tháng trước của:Khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,8%,8%,0.08,0.08
▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Số dư tiền gửi bình quân tháng trước của:Khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,6%,6%,0.06,0.06
▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,Số dư tiền gửi bình quân tháng trước của:Khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,3%,3%,0.03,0.03
▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Số dư tiền gửi bình quân tháng trước của:Khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,1%,1%,0.01,0.01
Tổ chức tín dụng nước ngoài:,Tổ chức tín dụng nước ngoài:,Tổ chức tín dụng nước ngoài:,,,,
▪ Tiền gửi bằng ngoại tệ,Tổ chức tín dụng nước ngoài: > ▪ Tiền gửi bằng ngoại tệ,▪ Tiền gửi bằng ngoại tệ,1%,1%,0.01,0.01
,,,31/12/2018Triệu VND,31/12/2017Triệu VND,,
Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,,,,
▪ Bằng VND,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > ▪ Bằng VND,▪ Bằng VND,5.898.408,2.620.235,5898408.0,2620235.0
▪ Bằng USD,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > ▪ Bằng USD,▪ Bằng USD,513.717,656.772,513717.0,656772.0
,,,6.412.125,3.277.007,6412125.0,3277007.0
