row_label_raw,row_label_full,Company name,31/12/2023 > Cost VND,31/12/2023 > Fair value VND,31/12/2023 > Allowance VND,1/1/2023 > Cost VND,1/1/2023 > Fair value VND,1/1/2023 > Allowance VND,numeric__31/12/2023 > Cost VND,numeric__31/12/2023 > Fair value VND,numeric__31/12/2023 > Allowance VND,numeric__1/1/2023 > Cost VND,numeric__1/1/2023 > Fair value VND,numeric__1/1/2023 > Allowance VND
Dong A Commercial Joint Stock Bank,Dong A Commercial Joint Stock Bank,Dong A Commercial Joint Stock Bank,"136,265,460,000",(*),"(136,265,460,000)","136,265,460,000",(*),"(136,265,460,000)",,,,,,
Saigon Packaging Group Joint Stock Company,Saigon Packaging Group Joint Stock Company,Saigon Packaging Group Joint Stock Company,"46,000,000,000",(*),"(4,643,345,605)","46,000,000,000",(*),-,,,,,,
PVI Holdings,PVI Holdings,PVI Holdings,"51,475,140,000","21,751,027,200","(29,724,112,800)","51,475,140,000","23,304,672,000","(28,170,468,000)",,,,,,
Underground Space Investment Development Corporation,Underground Space Investment Development Corporation,Underground Space Investment Development Corporation,"23,085,000,000",(*),"(23,085,000,000)","23,085,000,000",(*),"(23,085,000,000)",,,,,,
Phuong Dong Petroleum Tourism Joint Stock Company,Phuong Dong Petroleum Tourism Joint Stock Company,Phuong Dong Petroleum Tourism Joint Stock Company,"30,700,950,000","8,068,830,000","(30,700,950,000)","30,700,950,000","6,695,850,000","(30,700,950,000)",,,,,,
Saigon Securities Investment Fund A2,Saigon Securities Investment Fund A2,Saigon Securities Investment Fund A2,"35,757,720,722",(*),"(35,757,720,722)","35,757,720,722",(*),"(35,757,720,722)",,,,,,
Saigon Beer Transportation Joint Stock Company,Saigon Beer Transportation Joint Stock Company,Saigon Beer Transportation Joint Stock Company,"26,588,267,394",(*),-,"26,588,267,394",(*),-,,,,,,
Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,"19,690,000,000",(*),-,"19,690,000,000",(*),-,,,,,,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,"126,429,237,491","248,453,950,100",-,"126,429,237,491",(*),-,,,,,,
Dai Viet Securities Incorporation,Dai Viet Securities Incorporation,Dai Viet Securities Incorporation,"45,000,000,000",(*),"(45,000,000,000)","45,000,000,000",(*),"(45,000,000,000)",,,,,,
Sabeco HP Investment Company Limited,Sabeco HP Investment Company Limited,Sabeco HP Investment Company Limited,"24,426,586,800",(*),"(24,426,586,800)","24,426,586,800",(*),"(24,426,586,800)",,,,,,
Sai Gon - Dong Nai Beer Joint Stock Company,Sai Gon - Dong Nai Beer Joint Stock Company,Sai Gon - Dong Nai Beer Joint Stock Company,"3,954,000,000",(*),"(3,954,000,000)","3,954,000,000",(*),"(3,954,000,000)",,,,,,
,,,"569,372,362,407",,"(333,557,175,927)","569,372,362,407",,"(327,360,185,522)",,,,,,
