row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,126.159,299.540,1.832,427.531,126159.0,299540.0,1832.0,427531.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,48.767,-,48.767,,48767.0,,48767.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(73.386),(151),-,(73.537),-73386.0,-151.0,,-73537.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.773,348.156,1.832,402.761,52773.0,348156.0,1832.0,402761.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.785,200.948,1.053,208.786,6785.0,200948.0,1053.0,208786.0
Khẩu hao trong kỳ,Giá trị hao mòn lũy kế > Khẩu hao trong kỳ,Khẩu hao trong kỳ,1.151,36.096,446,37.693,1151.0,36096.0,446.0,37693.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.936),(151),-,(8.087),-7936.0,-151.0,,-8087.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,236.893,1.499,238.392,,236893.0,1499.0,238392.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,119.374,98.592,779,218.745,119374.0,98592.0,779.0,218745.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,52.773,111.263,333,164.369,52773.0,111263.0,333.0,164369.0
