row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2024Triệu VND,2023Triệu VND,numeric__2024Triệu VND,numeric__2023Triệu VND
Các cổ đông lớn và các bên liên quan với cổ đông lớn,Các cổ đông lớn và các bên liên quan với cổ đông lớn,Các cổ đông lớn và các bên liên quan với cổ đông lớn,Các cổ đông lớn và các bên liên quan với cổ đông lớn,Các cổ đông lớn và các bên liên quan với cổ đông lớn,,
Tập đoàn Geleximco – Công ty Cổ phần,Tập đoàn Geleximco – Công ty Cổ phần,Tập đoàn Geleximco – Công ty Cổ phần,,,,
Nhận tiền gửi không kỳ hạn,Tập đoàn Geleximco – Công ty Cổ phần > Nhận tiền gửi không kỳ hạn,Nhận tiền gửi không kỳ hạn,117.617,588.556,117617.0,588556.0
Rút tiền gửi không kỳ hạn,Tập đoàn Geleximco – Công ty Cổ phần > Rút tiền gửi không kỳ hạn,Rút tiền gửi không kỳ hạn,(117.177),(588.556),-117177.0,-588556.0
Thu nhập từ góp vốn đầu tư hợp tác kinh doanh,Tập đoàn Geleximco – Công ty Cổ phần > Thu nhập từ góp vốn đầu tư hợp tác kinh doanh,Thu nhập từ góp vốn đầu tư hợp tác kinh doanh,7.356,4.902,7356.0,4902.0
Góp vốn đầu tư hợp tác kinh doanh,Tập đoàn Geleximco – Công ty Cổ phần > Góp vốn đầu tư hợp tác kinh doanh,Góp vốn đầu tư hợp tác kinh doanh,(25.000),(57.000),-25000.0,-57000.0
Thu hồi vốn góp đầu tư hợp tác kinh doanh,Tập đoàn Geleximco – Công ty Cổ phần > Thu hồi vốn góp đầu tư hợp tác kinh doanh,Thu hồi vốn góp đầu tư hợp tác kinh doanh,25.000,-,25000.0,
Chi phí thuê văn phòng,Tập đoàn Geleximco – Công ty Cổ phần > Chi phí thuê văn phòng,Chi phí thuê văn phòng,(31.394),-,-31394.0,
Malayan Banking Berhad,Malayan Banking Berhad,Malayan Banking Berhad,,,,
Nhận tiền gửi không kỳ hạn,Malayan Banking Berhad > Nhận tiền gửi không kỳ hạn,Nhận tiền gửi không kỳ hạn,88.604,94.902,88604.0,94902.0
Rút tiền gửi không kỳ hạn,Malayan Banking Berhad > Rút tiền gửi không kỳ hạn,Rút tiền gửi không kỳ hạn,(88.417),(100.945),-88417.0,-100945.0
Ngân hàng gửi tiền gửi không kỳ hạn,Malayan Banking Berhad > Ngân hàng gửi tiền gửi không kỳ hạn,Ngân hàng gửi tiền gửi không kỳ hạn,2.201,-,2201.0,
Ngân hàng rút tiền gửi không kỳ hạn,Malayan Banking Berhad > Ngân hàng rút tiền gửi không kỳ hạn,Ngân hàng rút tiền gửi không kỳ hạn,(1),(1),-1.0,-1.0
Thu lãi tiền gửi,Malayan Banking Berhad > Thu lãi tiền gửi,Thu lãi tiền gửi,384,1.069,384.0,1069.0
Trà lãi tiền gửi,Malayan Banking Berhad > Trà lãi tiền gửi,Trà lãi tiền gửi,(4),(2),-4.0,-2.0
Thu từ các công cụ tài chính phải sinh tiền tệ,Malayan Banking Berhad > Thu từ các công cụ tài chính phải sinh tiền tệ,Thu từ các công cụ tài chính phải sinh tiền tệ,537,17.068,537.0,17068.0
Chi về các công cụ tài chính phải sinh tiền tệ,Malayan Banking Berhad > Chi về các công cụ tài chính phải sinh tiền tệ,Chi về các công cụ tài chính phải sinh tiền tệ,(3.374),(336),-3374.0,-336.0
Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP,,
Giải ngân cho vay,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Giải ngân cho vay,Giải ngân cho vay,(699.900),(1.623.000),-699900.0,-1623000.0
Thu hồi nợ cho vay,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Thu hồi nợ cho vay,Thu hồi nợ cho vay,669.900,1.653.000,669900.0,1653000.0
Thu nhập lãi cho vay,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Thu nhập lãi cho vay,Thu nhập lãi cho vay,13.130,8.716,13130.0,8716.0
Nhận tiền gửi không kỳ hạn,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Nhận tiền gửi không kỳ hạn,Nhận tiền gửi không kỳ hạn,70.358.935,16.111.605,70358935.0,16111605.0
Rút tiền gửi không kỳ hạn,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Rút tiền gửi không kỳ hạn,Rút tiền gửi không kỳ hạn,(71.089.026),(15.219.972),-71089026.0,-15219972.0
Nhận tiền gửi có kỳ hạn,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Nhận tiền gửi có kỳ hạn,Nhận tiền gửi có kỳ hạn,3.844.332,3.766.232,3844332.0,3766232.0
Rút tiền gửi có kỳ hạn,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Rút tiền gửi có kỳ hạn,Rút tiền gửi có kỳ hạn,(3.810.449),(2.314.892),-3810449.0,-2314892.0
Trà lãi tiền gửi,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Trà lãi tiền gửi,Trà lãi tiền gửi,(14.377),(5.706),-14377.0,-5706.0
Thu nhập từ góp vốn đầu tư hợp tác kinh doanh,Các công ty liên quan của Tập đoàn Geleximco – Công ty CP > Thu nhập từ góp vốn đầu tư hợp tác kinh doanh,Thu nhập từ góp vốn đầu tư hợp tác kinh doanh,-,22.322,,22322.0
