row_label_raw,row_label_full,Ông Lê Tiến Trường,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Phạm Duy Hạnh,Ông Phạm Duy Hạnh,Ông Phạm Duy Hạnh,Phó Tổng Giám đốc,
Bà Phạm Nguyên Hạnh,Bà Phạm Nguyên Hạnh,Bà Phạm Nguyên Hạnh,Phó Tổng Giám đốc,
Ông Lê Trung Hải,Ông Lê Trung Hải,Ông Lê Trung Hải,Phó Tổng Giám đốc,
Ông Hoàng Vệ Dũng,Ông Hoàng Vệ Dũng,Ông Hoàng Vệ Dũng,Phó Tổng Giám đốc,
Ông Đăng Vũ Hùng,Ông Đăng Vũ Hùng,Ông Đăng Vũ Hùng,Phó Tổng Giám đốc,
Ông Phạm Phú Cường,Ông Phạm Phú Cường,Ông Phạm Phú Cường,Phó Tổng Giám đốc,
Ông Nguyễn Đức Khiêm,Ông Nguyễn Đức Khiêm,Ông Nguyễn Đức Khiêm,Phó Tổng Giám đốc,
Ông Bùi Nguyên Tiến,Ông Bùi Nguyên Tiến,Ông Bùi Nguyên Tiến,Phó Tổng Giám đốc (đến ngày 18/7/2016),
Ông Phạm Văn Tân,Ông Phạm Văn Tân,Ông Phạm Văn Tân,Giám đốc Điều hành,
Ông Nguyễn Khánh Sơn,Ông Nguyễn Khánh Sơn,Ông Nguyễn Khánh Sơn,Giám đốc Điều hành,
Ông Lê Mạc Thuấn,Ông Lê Mạc Thuấn,Ông Lê Mạc Thuấn,Giám đốc Điều hành,
Bà Phạm Minh Hương,Bà Phạm Minh Hương,Bà Phạm Minh Hương,Giám đốc Điều hành,
