row_label_raw,row_label_full,col_0,Nguyên giá TSCĐ hữu hình VND,Hao mòn lũy kế TSCĐ hữu hình VND,Nợ phải thu VND,Tổng tài sản VND,Nợ phải trả VND,Chỉ tiêu vốn (*) VND,"Khấu hao TSCĐ hữu hình, vô hình và thuê tài chính VND",numeric__Nguyên giá TSCĐ hữu hình VND,numeric__Hao mòn lũy kế TSCĐ hữu hình VND,numeric__Nợ phải thu VND,numeric__Tổng tài sản VND,numeric__Nợ phải trả VND,numeric__Chỉ tiêu vốn (*) VND,"numeric__Khấu hao TSCĐ hữu hình, vô hình và thuê tài chính VND"
Nhà máy Bia Dung Quát,Nhà máy Bia Dung Quát,Nhà máy Bia Dung Quát,517.871.267.189,(363.424.523.966),380.674.632,193.581.682.688,76.901.929.768,3.189.519.250,25.566.000.000,517871267189.0,-363424523966.0,380674632.0,193581682688.0,76901929768.0,3189519250.0,25566000000.0
Xí nghiệp cơ giới Nông nghiệp,Xí nghiệp cơ giới Nông nghiệp,Xí nghiệp cơ giới Nông nghiệp,84.350.033.411,(81.944.562.383),69.899.760,11.495.858.545,2.124.807.693,18.726.418.938,1.030.281.839,84350033411.0,-81944562383.0,69899760.0,11495858545.0,2124807693.0,18726418938.0,1030281839.0
Nhà máy Sữa đậu nành Việt Nam – VINASOY,Nhà máy Sữa đậu nành Việt Nam – VINASOY,Nhà máy Sữa đậu nành Việt Nam – VINASOY,861.320.724.948,(593.136.493.720),17.890.527.123,902.131.770.078,445.997.525.371,272.747.296.860,190.524.146.671,861320724948.0,-593136493720.0,17890527123.0,902131770078.0,445997525371.0,272747296860.0,190524146671.0
Nhà máy Đường Phổ Phong,Nhà máy Đường Phổ Phong,Nhà máy Đường Phổ Phong,196.066.239.893,(162.161.478.940),21.970.874.424,84.242.382.420,3.778.346.494,311.473.137,8.088.916.817,196066239893.0,-162161478940.0,21970874424.0,84242382420.0,3778346494.0,311473137.0,8088916817.0
Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,27.821.032.636,(17.267.084.779),22.072.680,10.642.447.409,755.146.291,-,1.626.293.453,27821032636.0,-17267084779.0,22072680.0,10642447409.0,755146291.0,,1626293453.0
Nhà máy đường An Khê,Nhà máy đường An Khê,Nhà máy đường An Khê,1.630.584.226.928,(816.339.204.521),153.140.578.419,1.108.726.492.614,68.958.413.658,580.270.925.008,100.000.000.000,1630584226928.0,-816339204521.0,153140578419.0,1108726492614.0,68958413658.0,580270925008.0,100000000000.0
Nhà máy Bánh kẹo BISCAFUN,Nhà máy Bánh kẹo BISCAFUN,Nhà máy Bánh kẹo BISCAFUN,141.298.433.310,(99.914.585.096),3.446.342.238,66.866.123.013,45.641.102.854,5.701.175.729,6.400.000.000,141298433310.0,-99914585096.0,3446342238.0,66866123013.0,45641102854.0,5701175729.0,6400000000.0
Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,99.298.419.051,(68.048.440.065),2.043.998.421,57.824.721.322,21.577.368.963,9.532.342.959,5.600.000.000,99298419051.0,-68048440065.0,2043998421.0,57824721322.0,21577368963.0,9532342959.0,5600000000.0
Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,2.992.802.394,(1.084.198.044),23.121.000,3.753.927.653,19.431.126,2.560.367.060,34.900.070,2992802394.0,-1084198044.0,23121000.0,3753927653.0,19431126.0,2560367060.0,34900070.0
Nhà máy Nha Quảng Ngãi,Nhà máy Nha Quảng Ngãi,Nhà máy Nha Quảng Ngãi,2.725.560.233,(1.885.604.002),4.355.110.000,7.765.616.466,2.376.213.883,191.410.000,128.192.924,2725560233.0,-1885604002.0,4355110000.0,7765616466.0,2376213883.0,191410000.0,128192924.0
Nhà máy Cơ khí,Nhà máy Cơ khí,Nhà máy Cơ khí,3.347.217.859,(2.141.016.422),6.154.353.181,22.471.292.415,1.047.840.161,831.700.000,127.000.000,3347217859.0,-2141016422.0,6154353181.0,22471292415.0,1047840161.0,831700000.0,127000000.0
Văn phòng Công ty (lò hơi và hoạt động quản lý),Văn phòng Công ty (lò hơi và hoạt động quản lý),Văn phòng Công ty (lò hơi và hoạt động quản lý),70.534.764.473,(56.914.847.978),1.244.440.334.758,3.449.765.639.005,1.898.589.190.774,3.890.365.144,4.281.757.760,70534764473.0,-56914847978.0,1244440334758.0,3449765639005.0,1898589190774.0,3890365144.0,4281757760.0
Tổng cộng,Tổng cộng,Tổng cộng,3.638.210.722.325,(2.264.262.039.916),1.453.937.886.636,5.919.267.953.628,2.567.767.317.036,897.952.994.085,343.407.489.534,3638210722325.0,-2264262039916.0,1453937886636.0,5919267953628.0,2567767317036.0,897952994085.0,343407489534.0
