row_label_raw,row_label_full,2014,2014_1,2014_2,2014_3,2014_4,2014_5,numeric__2014_1,numeric__2014_2,numeric__2014_3,numeric__2014_4,numeric__2014_5
,,,Doanh thu thuần VND,Lợi nhuận gộp VND,Thu nhập hoạt động tài chính và thu nhập khác VND,Chi phí tài chính và chi phí khác VND,Lợi nhuận/(lỗ) trước thuế VND,,,,,
Nhà máy Bia Dung Quất,Nhà máy Bia Dung Quất,Nhà máy Bia Dung Quất,541.494.396.335,120.941.542.256,1.140.422.230,26.265.340.936,55.705.894.032,541494396335.0,120941542256.0,1140422230.0,26265340936.0,55705894032.0
Xí nghiệp cơ giới Nông nghiệp,Xí nghiệp cơ giới Nông nghiệp,Xí nghiệp cơ giới Nông nghiệp,36.271.497.484,7.662.854.202,254.545.455,5.370.341,7.258.141.755,36271497484.0,7662854202.0,254545455.0,5370341.0,7258141755.0
Nhà máy Sữa đậu nành Việt Nam – VINASOY,Nhà máy Sữa đậu nành Việt Nam – VINASOY,Nhà máy Sữa đậu nành Việt Nam – VINASOY,3.020.761.097.239,1.223.361.562.588,63.629.456.798,32.052.315.396,659.843.397.411,3020761097239.0,1223361562588.0,63629456798.0,32052315396.0,659843397411.0
Nhà máy Đường Phổ Phong,Nhà máy Đường Phổ Phong,Nhà máy Đường Phổ Phong,322.597.665.833,28.017.613.036,591.130.473,254.278.763,15.890.125.571,322597665833.0,28017613036.0,591130473.0,254278763.0,15890125571.0
Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,9.377.499.700,1.768.132.310,77.272.728,-,971.322.983,9377499700.0,1768132310.0,77272728.0,,971322983.0
Nhà máy đường An Khê,Nhà máy đường An Khê,Nhà máy đường An Khê,1.330.391.571.683,133.660.811.286,8.631.499.838,59.907.951.752,39.202.501.449,1330391571683.0,133660811286.0,8631499838.0,59907951752.0,39202501449.0
Nhà máy Bánh kéo BISCAFUN,Nhà máy Bánh kéo BISCAFUN,Nhà máy Bánh kéo BISCAFUN,439.713.532.804,107.965.712.629,446.119.121,6.369.020.916,14.113.270.543,439713532804.0,107965712629.0,446119121.0,6369020916.0,14113270543.0
Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,379.904.549.456,99.671.728.190,2.365.053.280,1.986.003.963,44.146.577.325,379904549456.0,99671728190.0,2365053280.0,1986003963.0,44146577325.0
Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,1.226.246.204,(933.617.704),24.447.273,22.829.565,(1.004.853.756),1226246204.0,-933617704.0,24447273.0,22829565.0,-1004853756.0
Nhà máy Nha Quảng Ngãi,Nhà máy Nha Quảng Ngãi,Nhà máy Nha Quảng Ngãi,45.333.125.819,4.568.774.954,300.000,86.413.317,425.267.108,45333125819.0,4568774954.0,300000.0,86413317.0,425267108.0
Nhà máy Cơ khí,Nhà máy Cơ khí,Nhà máy Cơ khí,47.641.587.120,5.959.956.162,26.183.322,108.326.735,3.794.695.169,47641587120.0,5959956162.0,26183322.0,108326735.0,3794695169.0
Văn phòng Công ty (lò hơi và hoạt động quản lý),Văn phòng Công ty (lò hơi và hoạt động quản lý),Văn phòng Công ty (lò hơi và hoạt động quản lý),42.516.162.588,11.541.833.154,167.680.981.088,67.169.225.142,111.293.396.769,42516162588.0,11541833154.0,167680981088.0,67169225142.0,111293396769.0
,,,6.217.228.932.265,1.744.186.903.063,244.867.411.606,194.227.076.826,951.639.736.359,6217228932265.0,1744186903063.0,244867411606.0,194227076826.0,951639736359.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,(313.137.698.728),-,(106.460.900.669),(106.460.900.669),-,-313137698728.0,,-106460900669.0,-106460900669.0,
Chỉ phí thuế thu nhập doanh nghiệp,Chỉ phí thuế thu nhập doanh nghiệp,Chỉ phí thuế thu nhập doanh nghiệp,-,-,-,-,159.867.470.420,,,,,159867470420.0
Tổng cộng,Tổng cộng,Tổng cộng,5.904.091.233.537,1.744.186.903.063,138.406.510.937,87.766.176.157,791.772.265.939,5904091233537.0,1744186903063.0,138406510937.0,87766176157.0,791772265939.0
