row_label_raw,row_label_full,col_0,Chức danh,Năm 2022Triệu đồng,Năm 2021Triệu đồng,numeric__Chức danh,numeric__Năm 2022Triệu đồng,numeric__Năm 2021Triệu đồng
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,
Thù lao,Thù lao,Thù lao,Thù lao,Thù lao,Thù lao,,,
Ông Ngô Chí Dũng,Thù lao > Ông Ngô Chí Dũng,Ông Ngô Chí Dũng,Chủ tịch,(3.360),(3.360),,-3360.0,-3360.0
Ông Bùi Hải Quân,Thù lao > Ông Bùi Hải Quân,Ông Bùi Hải Quân,Phó chủ tịch,(3.120),(3.120),,-3120.0,-3120.0
Ông Lô Bằng Giang,Thù lao > Ông Lô Bằng Giang,Ông Lô Bằng Giang,Phó chủ tịch,(3.120),(3.120),,-3120.0,-3120.0
Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Thành viên,-,-,,,
Ông Nguyễn Văn Phúc,Ông Nguyễn Đức Vinh > Ông Nguyễn Văn Phúc,Ông Nguyễn Văn Phúc,Thành viên độc lập,(1.200),(1.200),,-1200.0,-1200.0
Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,,,
"Thù lao, tiền lương và phụ cấp","Thành viên Ban kiểm soát > Thù lao, tiền lương và phụ cấp","Thù lao, tiền lương và phụ cấp",Ban Kiểm soát,(7.928),(7.488),,-7928.0,-7488.0
Tổng Giám đốc và Thành viênBan Tổng Giám đốc,Tổng Giám đốc và Thành viênBan Tổng Giám đốc,Tổng Giám đốc và Thành viênBan Tổng Giám đốc,Tổng Giám đốc và Thành viênBan Tổng Giám đốc,Tổng Giám đốc và Thành viênBan Tổng Giám đốc,Tổng Giám đốc và Thành viênBan Tổng Giám đốc,,,
Tiền lương và phụ cấp,Tổng Giám đốc và Thành viênBan Tổng Giám đốc > Tiền lương và phụ cấp,Tiền lương và phụ cấp,Ban Tổng Giám đốc,(57.747),(51.097),,-57747.0,-51097.0
