row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Công ty Cổ phần Trường Thành,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Mua hàng,11.836.519.368,-,,,11836519368.0,
Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty con,Mua hàng,960.000.000,-,,,960000000.0,
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Công ty con,Mua hàng,42.501.948,-,,,42501948.0,
,,,,,12.839.021.316,-,,,12839021316.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Cho vay,86.929.000.000,67.929.000.000,,,86929000000.0,67929000000.0
Công ty Cổ phần Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Cho vay,82.562.001.815,82.562.001.815,,,82562001815.0,82562001815.0
Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty liên kết,Cho vay,10.482.260.265,4.755.427.765,,,10482260265.0,4755427765.0
Công ty Cổ phần Lâm Nghiệp Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Cho vay,10.214.312.395,36.214.312.395,,,10214312395.0,36214312395.0
Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Công ty con,Cho vay,9.506.757.500,9.506.757.500,,,9506757500.0,9506757500.0
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Công ty con,Cho vay,6.370.000.000,6.370.000.000,,,6370000000.0,6370000000.0
Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty con,Cho vay,5.000.000.000,5.000.000.000,,,5000000000.0,5000000000.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay ngắn hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,1.530.615.000,-,,,1530615000.0,
Công ty Cổ phần Phú Hữu Gia,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,Cho vay,100.000.000,-,,,100000000.0,
Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty con,Cho vay,-,28.353.256.553,,,,28353256553.0
,,,,,212.694.946.975,240.690.756.028,,,212694946975.0,240690756028.0
