row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Cổ phiếu quỹ VND,ST chưa phân phối lũ VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__ST chưa phân phối lũ VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,1.819.998.680.000,766.255.590.000,59.804.428.330,36.681.287.204,(78.043.577.721),576.323.754.818,3.181.020.162.631,1819998680000.0,766255590000.0,59804428330.0,36681287204.0,-78043577721.0,576323754818.0,3181020162631.0
Lợi nhuận nhuận trong năm,Lợi nhuận nhuận trong năm,Lợi nhuận nhuận trong năm,-,-,-,-,-,2.225.261.058.221,2.225.261.058.221,,,,,,2225261058221.0,2225261058221.0
Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,256.245.222.279,-,-,78.043.577.721,-,334.288.800.000,,256245222279.0,,,78043577721.0,,334288800000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,363.987.000.000,(236.593.540.000),-,-,-,(127.393.460.000),-,363987000000.0,-236593540000.0,,,,-127393460000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(8.858.085.980),(8.858.085.980),,,,,,-8858085980.0,-8858085980.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,14.763.476.633,-,-,(14.763.476.633),-,,,14763476633.0,,,-14763476633.0,
Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,-,-,-,5.905.390.653,-,(5.905.390.653),-,,,,5905390653.0,,-5905390653.0,
Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,-,(8.508.240.327),(8.508.240.327),,,,,,-8508240327.0,-8508240327.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,2.183.985.680.000,785.907.272.279,74.567.904.963,42.586.677.857,-,2.636.156.159.446,5.723.203.694.545,2183985680000.0,785907272279.0,74567904963.0,42586677857.0,,2636156159446.0,5723203694545.0
Lỗ nhuận trong năm,Lỗ nhuận trong năm,Lỗ nhuận trong năm,-,-,-,-,-,(124.684.837.727),(124.684.837.727),,,,,,-124684837727.0,-124684837727.0
Vốn tăng trong năm (**),Vốn tăng trong năm (**),Vốn tăng trong năm (**),10.000.000.000,-,-,-,-,-,10.000.000.000,10000000000.0,,,,,,10000000000.0
Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),438.792.380.000,-,-,-,-,(438.792.380.000),-,438792380000.0,,,,,-438792380000.0,
Chỉ cổ tức bằng tiền,Chỉ cổ tức bằng tiền,Chỉ cổ tức bằng tiền,-,-,-,-,-,(219.398.568.000),(219.398.568.000),,,,,,-219398568000.0,-219398568000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18) (**)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18) (**)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18) (**)",-,-,-,-,-,(66.757.831.747),(66.757.831.747),,,,,,-66757831747.0,-66757831747.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,111.263.052.911,-,-,(111.263.052.911),-,,,111263052911.0,,,-111263052911.0,
Trích quỹ khác thuộc vốn chủ sở hữu (**),Trích quỹ khác thuộc vốn chủ sở hữu (**),Trích quỹ khác thuộc vốn chủ sở hữu (**),-,-,-,44.505.221.164,-,(44.505.221.164),-,,,,44505221164.0,,-44505221164.0,
Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,-,(2.712.322.000),(2.712.322.000),,,,,,-2712322000.0,-2712322000.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,2.632.778.060.000,785.907.272.279,185.830.957.874,87.091.899.021,-,1.628.041.945.897,5.319.650.135.071,2632778060000.0,785907272279.0,185830957874.0,87091899021.0,,1628041945897.0,5319650135071.0
