row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,110.376.505.790,-,110.376.505.790,110.376.505.790,-,110.376.505.790,110376505790.0,,110376505790.0,110376505790.0,,110376505790.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình (*),Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Lộc Bình (*),Công ty TNHH MTV Lâm nghiệp Lộc Bình (*),83.500.000.000,(4.890.819.581),78.609.180.419,57.576.130.025,(2.961.297.902),54.614.832.123,83500000000.0,-4890819581.0,78609180419.0,57576130025.0,-2961297902.0,54614832123.0
Công ty TNHH MTV Lâm nghiệp Đình Lập (*),Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Đình Lập (*),Công ty TNHH MTV Lâm nghiệp Đình Lập (*),56.600.638.143,(3.870.256.703),52.730.381.440,49.100.638.143,(3.845.568.903),45.255.069.240,56600638143.0,-3870256703.0,52730381440.0,49100638143.0,-3845568903.0,45255069240.0
Công ty TNHH MTV Lâm nghiệp Ba tơ,Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Ba tơ,Công ty TNHH MTV Lâm nghiệp Ba tơ,42.000.000.000,-,42.000.000.000,42.000.000.000,-,42.000.000.000,42000000000.0,,42000000000.0,42000000000.0,,42000000000.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc (*),Đầu tư vào công ty con > Công ty TNHH MTV Lâm nghiệp Đông Bắc (*),Công ty TNHH MTV Lâm nghiệp Đông Bắc (*),46.100.000.000,(2.512.118.112),43.587.881.888,40.163.302.000,-,40.163.302.000,46100000000.0,-2512118112.0,43587881888.0,40163302000.0,,40163302000.0
Công ty Cổ phần Cẩm Hà,Đầu tư vào công ty con > Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,17.433.225.852,-,17.433.225.852,17.433.225.852,-,17.433.225.852,17433225852.0,,17433225852.0,17433225852.0,,17433225852.0
Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài gòn,Đầu tư vào công ty con > Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài gòn,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài gòn,15.028.682.215,-,15.028.682.215,15.028.682.215,-,15.028.682.215,15028682215.0,,15028682215.0,15028682215.0,,15028682215.0
Công ty Cổ phần Vinafor Đà Nẵng,Đầu tư vào công ty con > Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,13.741.488.142,-,13.741.488.142,13.741.488.142,-,13.741.488.142,13741488142.0,,13741488142.0,13741488142.0,,13741488142.0
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,6.462.259.450,-,6.462.259.450,6.462.259.450,-,6.462.259.450,6462259450.0,,6462259450.0,6462259450.0,,6462259450.0
