row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Hoạt động sản xuất > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Hoạt động kinh doanh thương mại > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Hoạt động khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Hoạt động sản xuất > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Hoạt động kinh doanh thương mại > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Hoạt động khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,3.571.575.646.361,562.135.135.563,17.223.521.445,4.150.934.303.369,3571575646361.0,562135135563.0,17223521445.0,4150934303369.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,3.571.575.646.361,562.135.135.563,17.223.521.445,4.150.934.303.369,3571575646361.0,562135135563.0,17223521445.0,4150934303369.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,519.572.140.988,(15.989.155.846),16.110.025.752,519.693.010.894,519572140988.0,-15989155846.0,16110025752.0,519693010894.0
Thu nhập/(chỉ phí) không phân bổ (i),Kết quả > Thu nhập/(chỉ phí) không phân bổ (i),Thu nhập/(chỉ phí) không phân bổ (i),,,,(305.943.369.570),,,,-305943369570.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,213.749.641.331,,,,213749641331.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(49.188.807.503),,,,-49188807503.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,164.222.098.218,,,,164222098218.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,,,,
Tài sản cố định hữu hình,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Tài sản cố định hữu hình,Tài sản cố định hữu hình,17.914.110.022,3.393.371.647,6.535.800,21.314.017.469,17914110022.0,3393371647.0,6535800.0,21314017469.0
Khẩu hao và hao mòn,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Khẩu hao và hao mòn,Khẩu hao và hao mòn,153.612.490.980,29.097.971.986,56.044.119,182.766.507.085,153612490980.0,29097971986.0,56044119.0,182766507085.0
Phân bổ chi phí trả trước dài hạn,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Phân bổ chi phí trả trước dài hạn,Phân bổ chi phí trả trước dài hạn,1.938.859.678,367.267.559,707.375,2.306.834.612,1938859678.0,367267559.0,707375.0,2306834612.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,642.654.526.006,95.304.888.874,1.000.603.660,738.960.018.540,642654526006.0,95304888874.0,1000603660.0,738960018540.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,6.841.259.944.596,,,,6841259944596.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,7.580.219.963.136,,,,7580219963136.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,272.940.208.262,49.906.005.449,349.383.655,323.195.597.366,272940208262.0,49906005449.0,349383655.0,323195597366.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,2.067.864.083.250,,,,2067864083250.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,2.391.059.680.616,,,,2391059680616.0
