row_label_raw,row_label_full,col_0,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,9.368.417,8.119.289,9368417.0,8119289.0
Bằng VND,Bằng VND,Bằng VND,9.368.409,8.119.281,9368409.0,8119281.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,8,8,8.0,8.0
Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,39.332.900,37.036.170,39332900.0,37036170.0
Bằng VND,Bằng VND,Bằng VND,37.392.100,33.671.380,37392100.0,33671380.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,1.940.800,3.364.790,1940800.0,3364790.0
,,,48.701.317,45.155.459,48701317.0,45155459.0
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,,
Bằng VND,Vay các TCTD khác > Bằng VND,Bằng VND,5.563.887,6.033.185,5563887.0,6033185.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"- Vay chiết khấu, tái chiết khấu","Trong đó: > - Vay chiết khấu, tái chiết khấu","- Vay chiết khấu, tái chiết khấu",-,1.646.841,,1646841.0
- Vay khác,Trong đó: > - Vay khác,- Vay khác,5.563.887,4.386.344,5563887.0,4386344.0
Bằng ngoại tệ,Trong đó: > Bằng ngoại tệ,Bằng ngoại tệ,14.087.352,9.420.677,14087352.0,9420677.0
"- Vay cẩm cố, thế chấp","Trong đó: > - Vay cẩm cố, thế chấp","- Vay cẩm cố, thế chấp",-,82.355,,82355.0
- Vay khác (i),Trong đó: > - Vay khác (i),- Vay khác (i),14.087.352,9.338.322,14087352.0,9338322.0
,,,19.651.239,15.453.862,19651239.0,15453862.0
,,,68.352.556,60.609.321,68352556.0,60609321.0
