row_label_raw,row_label_full,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
73.104.986.164,73.104.986.164,73.104.986.164,-,73.104.986.164,137.137.645.000,,73104986164.0,137137645000.0
28.104.986.164,28.104.986.164,28.104.986.164,-,28.104.986.164,44.149.645.000,,28104986164.0,44149645000.0
45.000.000.000,45.000.000.000,45.000.000.000,-,45.000.000.000,92.988.000.000,,45000000000.0,92988000000.0
4.327.305.976.660,4.327.305.976.660,4.327.305.976.660,(318.709.500.000),4.008.596.476.660,4.056.454.977.764,-318709500000.0,4008596476660.0,4056454977764.0
3.360.079.928.717,3.360.079.928.717,3.360.079.928.717,(164.000.000.000),3.196.079.928.717,3.209.505.381.237,-164000000000.0,3196079928717.0,3209505381237.0
967.226.047.943,967.226.047.943,967.226.047.943,(154.709.500.000),812.516.547.943,846.949.596.527,-154709500000.0,812516547943.0,846949596527.0
527.895.480.716,527.895.480.716,527.895.480.716,(34.962.346.357),492.933.134.359,1.214.490.435.909,-34962346357.0,492933134359.0,1214490435909.0
800.388.103.043,800.388.103.043,800.388.103.043,-,800.388.103.043,800.388.103.043,,800388103043.0,800388103043.0
86.621.529.324,86.621.529.324,86.621.529.324,-,86.621.529.324,86.621.529.324,,86621529324.0,86621529324.0
702.118.000.000,702.118.000.000,702.118.000.000,-,702.118.000.000,702.118.000.000,,702118000000.0,702118000000.0
11.648.573.719,11.648.573.719,11.648.573.719,-,11.648.573.719,11.648.573.719,,11648573719.0,11648573719.0
65.595.878.785,65.595.878.785,65.595.878.785,-,65.595.878.785,65.595.878.785,,65595878785.0,65595878785.0
5.794.290.425.368,5.794.290.425.368,5.794.290.425.368,(353.671.846.357),5.440.618.579.011,6.274.067.040.501,-353671846357.0,5440618579011.0,6274067040501.0
