row_label_raw,row_label_full,Tên,Vị trí,2022 VND,2021 VND,numeric__Vị trí,numeric__2022 VND,numeric__2021 VND
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,,
Phí và tiền thường,Phí và tiền thường,Phí và tiền thường,Phí và tiền thường,Phí và tiền thường,Phí và tiền thường,,,
Ông Danny Le,Ông Danny Le,Ông Danny Le,Chủ tịch,-,-,,,
Ông Trường Công Thắng,Ông Trường Công Thắng,Ông Trường Công Thắng,Thành viên,-,-,,,
Bà Nguyễn Hoàng Yến,Bà Nguyễn Hoàng Yến,Bà Nguyễn Hoàng Yến,Thành viên,-,-,,,
Ông Nguyễn Thiều Quang,Ông Nguyễn Thiều Quang,Ông Nguyễn Thiều Quang,Thành viên,-,-,,,
Bà Nguyễn Thị Thu Hà,Bà Nguyễn Thị Thu Hà,Bà Nguyễn Thị Thu Hà,Thành viên,-,-,,,
Bà Nguyễn Thu Hiền,Bà Nguyễn Thu Hiền,Bà Nguyễn Thu Hiền,Thành viên,-,-,,,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,,,
"Lương, thường và các phúc lợi khác","Lương, thường và các phúc lợi khác","Lương, thường và các phúc lợi khác","Lương, thường và các phúc lợi khác","Lương, thường và các phúc lợi khác","Lương, thường và các phúc lợi khác",,,
Ông Trường Công Thắng,"Lương, thường và các phúc lợi khác > Ông Trường Công Thắng",Ông Trường Công Thắng,Tổng Giám đốc,6.592.776.987,17.767.338.616,,6592776987.0,17767338616.0
