row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,4.224.000.000.000,402.775.648.195,(8.452.600.340),116.164.019.076,1.395.854.379.081,6.130.341.446.012,4224000000000.0,402775648195.0,-8452600340.0,116164019076.0,1395854379081.0,6130341446012.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,665.295.881.509,665.295.881.509,,,,,665295881509.0,665295881509.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(1.013.760.000.000),(1.013.760.000.000),,,,,-1013760000000.0,-1013760000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,46.172.677.999,-,(46.172.677.999),-,-,,46172677999.0,,-46172677999.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(15.993.827.750),(15.993.827.750),,,,,-15993827750.0,-15993827750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,(20.180.615.729),-,-,(20.180.615.729),,,-20180615729.0,,,-20180615729.0
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,4.224.000.000.000,448.948.326.194,(28.633.216.069),69.991.341.077,1.031.396.432.840,5.745.702.884.042,4224000000000.0,448948326194.0,-28633216069.0,69991341077.0,1031396432840.0,5745702884042.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.333.991.571.725,1.333.991.571.725,,,,,1333991571725.0,1333991571725.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(675.840.000.000),(675.840.000.000),,,,,-675840000000.0,-675840000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,6.560.496.909,-,(6.560.496.909),-,-,,6560496909.0,,-6560496909.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(17.397.748.750),(17.397.748.750),,,,,-17397748750.0,-17397748750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,28.633.216.069,-,-,28.633.216.069,,,28633216069.0,,,28633216069.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,4.224.000.000.000,455.508.823.103,-,63.430.844.168,1.672.150.255.815,6.415.089.923.086,4224000000000.0,455508823103.0,,63430844168.0,1672150255815.0,6415089923086.0
