row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,Triệu VND,Triệu VND,,
Nghĩa vụ tiềm ấn,Nghĩa vụ tiềm ấn,Nghĩa vụ tiềm ấn,44.197.532,72.629.582,44197532.0,72629582.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,10.235,808.743,10235.0,808743.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,22.150.762,46.647.030,22150762.0,46647030.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,22.036.535,25.173.809,22036535.0,25173809.0
Các cam kết đưa ra,Các cam kết đưa ra,Các cam kết đưa ra,184.633.657,211.502.440,184633657.0,211502440.0
Cam kết giao dịch hồi doái,Cam kết giao dịch hồi doái,Cam kết giao dịch hồi doái,175.879.380,199.138.079,175879380.0,199138079.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,8.754.277,12.364.361,8754277.0,12364361.0
Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,(381.225),(419.089),-381225.0,-419089.0
,,,228.449.964,283.712.933,228449964.0,283712933.0
