row_label_raw,row_label_full,col_0,Dự phòngcụ thểTriệu đồng,Dự phòngchungTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòngcụ thểTriệu đồng,numeric__Dự phòngchungTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dự đầu năm,Số dự đầu năm,Số dự đầu năm,422.324,946.594,1.368.918,422324.0,946594.0,1368918.0
Tăng dự phòng từ sáp nhập Ngân hàngTMCP Phương Nam,Tăng dự phòng từ sáp nhập Ngân hàngTMCP Phương Nam,Tăng dự phòng từ sáp nhập Ngân hàngTMCP Phương Nam,486.473,318.442,804.915,486473.0,318442.0,804915.0
Số trích lập dự phòng trong kỳ,Số trích lập dự phòng trong kỳ,Số trích lập dự phòng trong kỳ,839.267,130.666,969.933,839267.0,130666.0,969933.0
Điều chỉnh dự phòng của các công ty con,Điều chỉnh dự phòng của các công ty con,Điều chỉnh dự phòng của các công ty con,1.782,(11),1.771,1782.0,-11.0,1771.0
Số dự phòng đã sử dụng để xử lý rủi ro từtháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý rủi ro từtháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý rủi ro từtháng 1 đến tháng 11,(10.424),-,(10.424),-10424.0,,-10424.0
Số dự phòng đã sử dụng để xử lý nợ báncho VAMC từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC từ tháng 1 đến tháng 11,(250.013),-,(250.013),-250013.0,,-250013.0
Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,936,1.048,1.984,936.0,1048.0,1984.0
Số dự dự phòng rủi ro tại ngày 30tháng 11 năm 2015,Số dự dự phòng rủi ro tại ngày 30tháng 11 năm 2015,Số dự dự phòng rủi ro tại ngày 30tháng 11 năm 2015,1.490.345,1.396.739,2.887.084,1490345.0,1396739.0,2887084.0
Số hoàn nhập dự phòng trong tháng 12,Số hoàn nhập dự phòng trong tháng 12,Số hoàn nhập dự phòng trong tháng 12,(3.814),(23.777),(27.591),-3814.0,-23777.0,-27591.0
Số dự phòng đã sử dụng để xử lý rủi rotrong tháng 12,Số dự phòng đã sử dụng để xử lý rủi rotrong tháng 12,Số dự phòng đã sử dụng để xử lý rủi rotrong tháng 12,(9.548),-,(9.548),-9548.0,,-9548.0
Số dự phòng đã sử dụng để xử lý nợ báncho VAMC trong tháng 12,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC trong tháng 12,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC trong tháng 12,(593.125),-,(593.125),-593125.0,,-593125.0
Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(25),(3),(28),-25.0,-3.0,-28.0
Số dự cuối năm,Số dự cuối năm,Số dự cuối năm,883.833,1.372.959,2.256.792,883833.0,1372959.0,2256792.0
