row_label_raw,row_label_full,col_0,31/12/2023,31/12/2022,numeric__31/12/2023,numeric__31/12/2022
Nông nghiệp và lâm nghiệp và thủy sản,Nông nghiệp và lâm nghiệp và thủy sản,Nông nghiệp và lâm nghiệp và thủy sản,890.552,970.451,890552.0,970451.0
Khai khoáng,Khai khoáng,Khai khoáng,6.514,7.482,6514.0,7482.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",967.802,1.076.726,967802.0,1076726.0
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",127.368,118.389,127368.0,118389.0
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",30.867,11.607,30867.0,11607.0
Xây dựng,Xây dựng,Xây dựng,1.952.833,1.674.684,1952833.0,1674684.0
"Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và động cơ khác",1.971.967,1.980.565,1971967.0,1980565.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,250.372,240.160,250372.0,240160.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,337.981,282.788,337981.0,282788.0
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,43.880,29.769,43880.0,29769.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",-,50.000,,50000.0
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",92.151,109.291,92151.0,109291.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,1.171.576,1.061.532,1171576.0,1061532.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,197.696,214.692,197696.0,214692.0
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,193.750,232.169,193750.0,232169.0
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",29.933,33.748,29933.0,33748.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,7.998.235,7.078.926,7998235.0,7078926.0
"Hoạt động làm thuê các công việc trong các hộ g/dình,","Hoạt động làm thuê các công việc trong các hộ g/dình,","Hoạt động làm thuê các công việc trong các hộ g/dình,",3.703.900,3.541.247,3703900.0,3541247.0
Tổng cộng,Tổng cộng,Tổng cộng,19.967.377,18.714.226,19967377.0,18714226.0
