row_label_raw,row_label_full,col_0,31.12.2023Triệu đồng,31.12.2022Triệu đồng,numeric__31.12.2023Triệu đồng,numeric__31.12.2022Triệu đồng
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",109.332.902,95.430.258,109332902.0,95430258.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,58.248.505,20.969.929,58248505.0,20969929.0
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và động cơ khác",46.004.035,12.185.185,46004035.0,12185185.0
Xây dựng,Xây dựng,Xây dựng,24.448.858,16.842.962,24448858.0,16842962.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",14.278.085,26.016.502,14278085.0,26016502.0
Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,13.038.626,3.245.148,13038626.0,3245148.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",11.589.764,29.121.078,11589764.0,29121078.0
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",9.995.088,15.443.604,9995088.0,15443604.0
"Vận tải, kho bãi","Vận tải, kho bãi","Vận tải, kho bãi",5.394.191,4.320.943,5394191.0,4320943.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,3.980.434,5.101.910,3980434.0,5101910.0
Khác,Khác,Khác,47.093.807,35.178.864,47093807.0,35178864.0
,,,343.404.295,263.856.383,343404295.0,263856383.0
