row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2023Triệu đồng,Ngày 31 tháng 12năm 2022Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__Ngày 31 tháng 12năm 2022Triệu đồng
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,809.436,406.790,,809436.0,406790.0
Cam kết giao dịch hối doái,Cam kết giao dịch hối doái,Cam kết giao dịch hối doái,,259.213.350,69.775.987,,259213350.0,69775987.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,4.293.490,2.512.790,,4293490.0,2512790.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,4.542.374,2.912.961,,4542374.0,2912961.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,,250.377.486,64.350.236,,250377486.0,64350236.0
- Cam kết giao dịch tương lai,- Cam kết giao dịch tương lai,- Cam kết giao dịch tương lai,,-,-,,,
Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,,-,-,,,
Cam kết trong nghiệp vụ thư tín dụng,Cam kết cho vay không hủy ngang > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,,2.191.087,4.155.744,,2191087.0,4155744.0
Bảo lãnh khác,Cam kết cho vay không hủy ngang > Bảo lãnh khác,Bảo lãnh khác,,15.548.620,4.215.505,,15548620.0,4215505.0
Các cam kết khác,Cam kết cho vay không hủy ngang > Các cam kết khác,Các cam kết khác,,5.318.378,3.724.488,,5318378.0,3724488.0
Lãi cho vay và phí phải thu chưa thu được,Cam kết cho vay không hủy ngang > Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,,2.364.349,1.518.715,,2364349.0,1518715.0
Nợ khó đòi đã xử lý,Cam kết cho vay không hủy ngang > Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,,15.584.338,11.426.060,,15584338.0,11426060.0
Tài sản và chứng từ khác,Cam kết cho vay không hủy ngang > Tài sản và chứng từ khác,Tài sản và chứng từ khác,,27.061.445,14.277.966,,27061445.0,14277966.0
Tổng cộng,Cam kết cho vay không hủy ngang > Tổng cộng,Tổng cộng,,328.091.003,109.501.255,,328091003.0,109501255.0
