row_label_raw,row_label_full,Chỉ tiêu,Sản phẩmlọc hóa đầu > VND,Nhiên liệusinh học > VND,Sản xuất bao bì vàthương mại dịch vụ > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Sản phẩmlọc hóa đầu > VND,numeric__Nhiên liệusinh học > VND,numeric__Sản xuất bao bì vàthương mại dịch vụ > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,101.037.235.267.376,9.552.832.621,859.542.792.679,(826.295.634.546),101.080.035.258.130,101037235267376.0,9552832621.0,859542792679.0,-826295634546.0,101080035258130.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,94.470.894.898.394,82.678.488.752,846.155.449.137,(830.691.989.280),94.569.036.847.003,94470894898394.0,82678488752.0,846155449137.0,-830691989280.0,94569036847003.0
- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,93.286.838.332.997,80.815.868.440,823.831.025.183,(810.171.511.540),93.381.313.715.080,93286838332997.0,80815868440.0,823831025183.0,-810171511540.0,93381313715080.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,776.386.500.970,-,4.643.243.886,-,781.029.744.856,776386500970.0,,4643243886.0,,781029744856.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,407.670.064.427,1.862.620.312,17.681.180.068,(20.520.477.740),406.693.387.067,407670064427.0,1862620312.0,17681180068.0,-20520477740.0,406693387067.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,6.566.340.368.982,(73.125.656.131),13.387.343.542,4.396.354.734,6.510.998.411.127,6566340368982.0,-73125656131.0,13387343542.0,4396354734.0,6510998411127.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,1.014.896.787.839,,,,,1014896787839.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,619.255.475.339,,,,,619255475339.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,34.036.911.583,,,,,34036911583.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,6.940.676.635.210,,,,,6940676635210.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,302.761.744.904,,,,,302761744904.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,,,(45.624.962.070),,,,,-45624962070.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,6.683.539.852.376,,,,,6683539852376.0
Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,,
