row_label_raw,row_label_full,STT,Tên,Địa điểm,Ngành nghề,31.12.2021 > Tỷ lệ sở hữu %,31.12.2021 > Giá gốc VND,31.12.2021 > Giá trị hợp lý VND,31.12.2021 > Dự phòng VND,31.12.2020 > Tỷ lệ sở hữu %,31.12.2020 > Giá gốc VND,31.12.2020 > Giá trị hợp lý VND,31.12.2020 > Dự phòng VND,numeric__Tên,numeric__Địa điểm,numeric__Ngành nghề,numeric__31.12.2021 > Tỷ lệ sở hữu %,numeric__31.12.2021 > Giá gốc VND,numeric__31.12.2021 > Giá trị hợp lý VND,numeric__31.12.2021 > Dự phòng VND,numeric__31.12.2020 > Tỷ lệ sở hữu %,numeric__31.12.2020 > Giá gốc VND,numeric__31.12.2020 > Giá trị hợp lý VND,numeric__31.12.2020 > Dự phòng VND
1,1,1,Công ty Cổ phần Nova Hospitality,TP. Hồ Chí Minh,Kinh doanh bất động sản,"100,00",11.850.901.710.000,(*),-,"100,00",2.846.395.720.000,(*),-,,,,100.0,11850901710000.0,,,100.0,2846395720000.0,,
2,2,2,Công ty TNHH Bắt động sản Khải Hưng,TP. Hồ Chí Minh,Kinh doanh bất động sản,"97,76",6.920.965.000.000,(*),-,"97,76",6.920.965.000.000,(*),-,,,,97.76,6920965000000.0,,,97.76,6920965000000.0,,
3,3,3,Công ty Cổ phần Địa ốc No Va Mỹ Đình,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",6.851.594.000.000,(*),-,"99,99",6.851.594.000.000,(*),-,,,,99.99,6851594000000.0,,,99.99,6851594000000.0,,
4,4,4,Công ty TNHH No Va Thảo Điền,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",6.691.622.500.000,(*),-,"99,99",4.637.742.500.000,(*),-,,,,99.99,6691622500000.0,,,99.99,4637742500000.0,,
5,5,5,Công ty Cổ phần Đầu tư Địa ốc No Va,TP. Hồ Chí Minh,Kinh doanh bất động sản,"97,59",4.320.700.000.000,(*),-,"94,45",1.814.300.000.000,(*),-,,,,97.59,4320700000000.0,,,94.45,1814300000000.0,,
6,6,6,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",3.527.393.300.000,(*),-,"99,99",3.527.393.300.000,(*),-,,,,99.99,3527393300000.0,,,99.99,3527393300000.0,,
7,7,7,Công ty TNHH Đầu tư Phát triển Nhà ở và Hạ tầng Sài Gòn,TP. Hồ Chí Minh,Kinh doanh bất động sản,"100,00",2.534.180.000.000,(*),-,"99,96",283.780.000.000,(*),-,,,,100.0,2534180000000.0,,,99.96,283780000000.0,,
8,8,8,Công ty TNHH Bắt động sản Gia Đức,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",2.209.989.500.000,(*),-,"99,99",2.209.989.500.000,(*),-,,,,99.99,2209989500000.0,,,99.99,2209989500000.0,,
9,9,9,Công ty TNHH Đầu tư Bắt động sản Tân Kim Yến,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",2.204.600.000.000,(*),-,"99,99",2.684.600.000.000,(*),-,,,,99.99,2204600000000.0,,,99.99,2684600000000.0,,
10,10,10,Công ty TNHH Đầu tư Bắt động sản Unity,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,98",2.149.500.000.000,(*),-,-,-,(*),-,,,,99.98,2149500000000.0,,,,,,
11,11,11,Công ty TNHH Đầu tư và Bắt động sản Tường Minh,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",1.925.665.604.000,(*),-,"99,99",1.925.665.604.000,(*),-,,,,99.99,1925665604000.0,,,99.99,1925665604000.0,,
12,12,12,Công ty TNHH Bắt động sản Bách Hợp,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,77",1.910.786.560.000,(*),-,"99,77",1.910.786.560.000,(*),-,,,,99.77,1910786560000.0,,,99.77,1910786560000.0,,
13,13,13,Công ty TNHH Đầu tư Phát triển Bắt động sản An Phát,TP. Hồ Chí Minh,Kinh doanh bất động sản,"100,00",1.632.498.000.000,(*),-,"100,00",1.632.498.000.000,(*),-,,,,100.0,1632498000000.0,,,100.0,1632498000000.0,,
14,14,14,Công ty TNHH Đầu tư Địa ốc Thành Nhơn,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",1.419.858.000.000,(*),-,"99,99",1.419.858.000.000,(*),-,,,,99.99,1419858000000.0,,,99.99,1419858000000.0,,
15,15,15,Công ty Cổ phần The Prince Residence,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,89",1.140.639.200.000,(*),-,"99,81",709.939.200.000,(*),-,,,,99.89,1140639200000.0,,,99.81,709939200000.0,,
