row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,186.941.077,5.514.729,192.455.806,186941077.0,5514729.0,192455806.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,26.893.321,5.485.029,32.378.350,26893321.0,5485029.0,32378350.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),42.331.931,29.700,42.361.631,42331931.0,29700.0,42361631.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,100.767.406,-,100.767.406,100767406.0,,100767406.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,16.948.419,-,16.948.419,16948419.0,,16948419.0
Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,137.750.823,2.494.141,140.244.964,137750823.0,2494141.0,140244964.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,5.627.362,693.000,6.320.362,5627362.0,693000.0,6320362.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,132.116.599,1.801.141,133.917.740,132116599.0,1801141.0,133917740.0
Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2020,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2020,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2020,72.630.108,-,72.630.108,72630108.0,,72630108.0
