row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Vốn đầu tư xây dựng cơ bản,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Vốn đầu tư xây dựng cơ bản,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,19.857.500,33.460,3.397,1.343.532,547.253,608,4.927.717,26.713.467,19857500.0,33460.0,3397.0,1343532.0,547253.0,608.0,4927717.0,26713467.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,4.652.150,4.652.150,,,,,,,4652150.0,4652150.0
Phát hành cổ phiếu thường cho người lao động,Phát hành cổ phiếu thường cho người lao động,Phát hành cổ phiếu thường cho người lao động,142.500,-,-,-,-,-,(142.500),-,142500.0,,,,,,-142500.0,
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,462.131,231.065,-,(693.196),-,,,,462131.0,231065.0,,-693196.0,
Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,Ngày 01 tháng 01 năm 2024,20.000.000,33.460,3.397,1.805.663,778.318,608,8.744.171,31.365.617,20000000.0,33460.0,3397.0,1805663.0,778318.0,608.0,8744171.0,31365617.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,5.525.756,5.525.756,,,,,,,5525756.0,5525756.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,,,,465.215,232.608,-,(697.823),-,,,,465215.0,232608.0,,-697823.0,
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,(32),-,-,-,(32),,,,-32.0,,,,-32.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,6.000.000,-,-,-,-,-,(6.000.000),-,6000000.0,,,,,,-6000000.0,
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,26.000.000,33.460,3.397,2.270.846,1.010.926,608,7.572.104,36.891.341,26000000.0,33460.0,3397.0,2270846.0,1010926.0,608.0,7572104.0,36891341.0
