row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty Cổ phần Viglacera Thăng Long,Công ty Cổ phần Viglacera Thăng Long,Công ty Cổ phần Viglacera Thăng Long,Vĩnh Phúc,"51,07%","51,07%",Sản xuất và kinh doanh gạch men,,0.5107,0.5107,
Công ty Cổ phần Bao bì và Má phanh Viglacera,Công ty Cổ phần Bao bì và Má phanh Viglacera,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00%","Sản xuất và kinh doanh bao bì, má phanh",,0.51,0.51,
Công ty Cổ phần Viglacera Bá Hiến,Công ty Cổ phần Viglacera Bá Hiến,Công ty Cổ phần Viglacera Bá Hiến,Vĩnh Phúc,"52,64%","52,64%",Sản xuất và kinh doanh gạch,,0.5264,0.5264,
Công ty Cổ phần Viglacera Từ Liêm,Công ty Cổ phần Viglacera Từ Liêm,Công ty Cổ phần Viglacera Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch,,0.5592,0.5592,
Công ty Cổ phần Viglacera Đông Anh,Công ty Cổ phần Viglacera Đông Anh,Công ty Cổ phần Viglacera Đông Anh,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
Công ty Cổ phần Tư vấn Viglacera,Công ty Cổ phần Tư vấn Viglacera,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,0.7689,0.7689,
Công ty Cổ phần Việt Trì Viglacera,Công ty Cổ phần Việt Trì Viglacera,Công ty Cổ phần Việt Trì Viglacera,Phú Thọ,"92,82%","92,82%",Sản xuất và kinh doanh sử vệ sinh,,0.9281999999999999,0.9281999999999999,
Công ty Cổ phần Kính Viglacera Đáp Cầu,Công ty Cổ phần Kính Viglacera Đáp Cầu,Công ty Cổ phần Kính Viglacera Đáp Cầu,Bắc Ninh,"86,41%","86,41%",Sản xuất và kinh doanh kính,,0.8641,0.8641,
Công ty Cổ phần Viglacera Hữu Hưng,Công ty Cổ phần Viglacera Hữu Hưng,Công ty Cổ phần Viglacera Hữu Hưng,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
