row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Tỷ lệ lợi ích (%),Số cuối năm > Tỷ lệ quyền biểu quyết (%),Số đầu năm > Tỷ lệ lợi ích (%),Số đầu năm > Tỷ lệ quyền biểu quyết (%),numeric__Số cuối năm > Tỷ lệ lợi ích (%),numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%),numeric__Số đầu năm > Tỷ lệ lợi ích (%),numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%)
Công ty Cổ phần 19/5 Đoan Hùng,Công ty Cổ phần 19/5 Đoan Hùng,Công ty Cổ phần 19/5 Đoan Hùng,"49,01%","49,01%","49,01%","49,01%",0.4901,0.4901,0.4901,0.4901
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Cái Lân,"49,00%","49,00%","49,00%","49,00%",0.49,0.49,0.49,0.49
Công ty TNHH Việt Nhật chế biến gỗ và Dầm gỗ Dung Quát,Công ty TNHH Việt Nhật chế biến gỗ và Dầm gỗ Dung Quát,Công ty TNHH Việt Nhật chế biến gỗ và Dầm gỗ Dung Quát,"49,00%","49,00%","49,00%","49,00%",0.49,0.49,0.49,0.49
Công ty Cổ phần Giống Lâm nghiệp Trung ƯƠng,Công ty Cổ phần Giống Lâm nghiệp Trung ƯƠng,Công ty Cổ phần Giống Lâm nghiệp Trung ƯƠng,"48,10%","48,10%","48,10%","48,10%",0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004
Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,"45,78%","45,78%","45,78%","45,78%",0.4578,0.4578,0.4578,0.4578
Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty Cổ phần Lâm nghiệp Miền Đông,Công ty Cổ phần Lâm nghiệp Miền Đông,-,-,30%,30%,,,0.3,0.3
Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,"40,00%","40,00%","40,00%","40,00%",0.4,0.4,0.4,0.4
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Vũng Áng,"40,00%","40,00%","40,00%","40,00%",0.4,0.4,0.4,0.4
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,"39,97%","39,97%","39,97%","39,97%",0.3997,0.3997,0.3997,0.3997
Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,"35,00%","35,00%","35,00%","35,00%",0.35,0.35,0.35,0.35
