row_label_raw,row_label_full,Bên liên quan (*),Quan hệ,numeric__Quan hệ
Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty mẹ,
Bộ Công an (Thuyết minh 21),Bộ Công an (Thuyết minh 21),Bộ Công an (Thuyết minh 21),Cổ đông chính(từ ngày 16 tháng 7 năm 2025),
Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước– Công ty TNHH (Thuyết minh 21),Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước– Công ty TNHH (Thuyết minh 21),Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước– Công ty TNHH (Thuyết minh 21),Cổ đông chính(đến ngày 16 tháng 7 năm 2025),
Công ty TNHH FPT IS (trước đây là Công tyTNHH Hệ thống Thông tin FPT),Công ty TNHH FPT IS (trước đây là Công tyTNHH Hệ thống Thông tin FPT),Công ty TNHH FPT IS (trước đây là Công tyTNHH Hệ thống Thông tin FPT),Công ty con của Công ty mẹ,
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty con của Công ty mẹ,
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty con của Công ty mẹ,
Công ty Cổ phần Công nghệ Utop,Công ty Cổ phần Công nghệ Utop,Công ty Cổ phần Công nghệ Utop,Công ty con của Công ty mẹ,
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty con của Công ty mẹ,
Công ty TNHH Phân phối Synnex FPT,Công ty TNHH Phân phối Synnex FPT,Công ty TNHH Phân phối Synnex FPT,Công ty liên kết của Công ty mẹ,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty liên kết của Công ty mẹ,
Công ty Cổ phần Quản lý Quỹ đầu tư FPT,Công ty Cổ phần Quản lý Quỹ đầu tư FPT,Công ty Cổ phần Quản lý Quỹ đầu tư FPT,Công ty liên kết của Công ty mẹ,
"Các thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc, và các cá nhân có liên quancủa các thành viên này","Các thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc, và các cá nhân có liên quancủa các thành viên này","Các thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc, và các cá nhân có liên quancủa các thành viên này",Thành viên quản lý chủ chốt,
