row_label_raw,row_label_full,Vay ngân hàng (*)
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex
Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội
Ngân hàng TNHH Shinhan Việt Nam,Ngân hàng TNHH Shinhan Việt Nam,Ngân hàng TNHH Shinhan Việt Nam
Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH CTBC - Chi nhánh Hồ Chí Minh
Ngân hàng Nông nghiệp và Phát triển Nông thôn(Thuyết minh 18(b)),Ngân hàng Nông nghiệp và Phát triển Nông thôn(Thuyết minh 18(b)),Ngân hàng Nông nghiệp và Phát triển Nông thôn(Thuyết minh 18(b))
Vay cá nhân (**),Vay cá nhân (**),Vay cá nhân (**)
