row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu VND,Phần mềm máy tính triệu VND,TSCĐ vô hình khác triệu VND,Tổng cộng triệu VND,numeric__Quyền sử dụng đất triệu VND,numeric__Phần mềm máy tính triệu VND,numeric__TSCĐ vô hình khác triệu VND,numeric__Tổng cộng triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.478.880,207.848,40.188,3.726.916,3478880.0,207848.0,40188.0,3726916.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,12.215,13.770,155,26.140,12215.0,13770.0,155.0,26140.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.294),-,-,(4.294),-4294.0,,,-4294.0
Thoái vốn SHBS,Nguyên giá > Thoái vốn SHBS,Thoái vốn SHBS,-,(9.787),(440),(10.227),,-9787.0,-440.0,-10227.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(20),(26),(46),,-20.0,-26.0,-46.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.486.801,211.811,39.877,3.738.489,3486801.0,211811.0,39877.0,3738489.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,5.647,160.748,22.515,188.910,5647.0,160748.0,22515.0,188910.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,158,27.122,5.557,32.837,158.0,27122.0,5557.0,32837.0
Thoái vốn SHBS,Giá trị hao mòn luỹ kế > Thoái vốn SHBS,Thoái vốn SHBS,-,(9.677),(439),(10.116),,-9677.0,-439.0,-10116.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(19),(16),(35),,-19.0,-16.0,-35.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,5.805,178.174,27.617,211.596,5805.0,178174.0,27617.0,211596.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.473.233,47.100,17.673,3.538.006,3473233.0,47100.0,17673.0,3538006.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.480.996,33.637,12.260,3.526.893,3480996.0,33637.0,12260.0,3526893.0
