row_label_raw,row_label_full,col_0,Tổng khoản thanh toán tiền thuê tài chính Triệu VND,Tiền lãi thuê Triệu VND,Nợ gốc Triệu VND,numeric__Tổng khoản thanh toán tiền thuê tài chính Triệu VND,numeric__Tiền lãi thuê Triệu VND,numeric__Nợ gốc Triệu VND
Trong vòng 1 năm,Trong vòng 1 năm,Trong vòng 1 năm,21.397,1.510,19.887,21397.0,1510.0,19887.0
Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,89.332,27.145,62.187,89332.0,27145.0,62187.0
Sau 5 năm,Sau 5 năm,Sau 5 năm,482.657,372.912,109.745,482657.0,372912.0,109745.0
,,,593.386,401.567,191.819,593386.0,401567.0,191819.0
