row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021_1,Tại ngày 1 tháng 1 năm 2021_2,Tại ngày 1 tháng 1 năm 2021_3,Tại ngày 1 tháng 1 năm 2021_4,numeric__Tại ngày 1 tháng 1 năm 2021_1,numeric__Tại ngày 1 tháng 1 năm 2021_2,numeric__Tại ngày 1 tháng 1 năm 2021_3,numeric__Tại ngày 1 tháng 1 năm 2021_4
,,,Kinh doanhchuyển nhượngbất động sảnTriệu VND,Hoạt động cho thuê vàcung cấpcác dịch vụliên quanTriệu VND,KhácTriệu VND,Hợp nhấtTriệu VND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,692.577,33.684.146,383.652,34.760.3755.056.057,692577.0,33684146.0,383652.0,347603755056057.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,,,,39.816.432,,,,39816432.0
Nợ phải trả bộ phận,Tài sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.220.759,2.803.916,187.586,4.212.2616.268.355,1220759.0,2803916.0,187586.0,42122616268355.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,,,,10.480.616,,,,10480616.0
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,,
Chỉ tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chỉ tiêu vốn,Chỉ tiêu vốn,-,1.395.110,-,1.395.110,,1395110.0,,1395110.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,-,19.126,17.384,36.510,,19126.0,17384.0,36510.0
Phân bổ tài sản cố định vô hình và lợi thế thương mại,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Phân bổ tài sản cố định vô hình và lợi thế thương mại,Phân bổ tài sản cố định vô hình và lợi thế thương mại,-,82.037,-,82.037,,82037.0,,82037.0
Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,1.359.517,-,1.359.517,,1359517.0,,1359517.0
