row_label_raw,row_label_full,2016,2016_1,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,TổngTriệu VND,numeric__2016_1,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__TổngTriệu VND
I.,I.,I.,Doanh thu,321.874,516.301,5.691.213,(4.125.810),2.403.578,,321874.0,516301.0,5691213.0,-4125810.0,2403578.0
I.,I.,I.,Thu nhập lãi và các khoản thu nhập tương tự tử:,320.389,505.000,5.594.426,(4.125.810),2.294.005,,320389.0,505000.0,5594426.0,-4125810.0,2294005.0
I.,I.,I.,Khách hàng bên ngoài,101.780,202.663,1.989.562,-,2.294.005,,101780.0,202663.0,1989562.0,,2294005.0
I.,I.,I.,Nội bộ,218.609,302.337,3.604.864,(4.125.810),-,,218609.0,302337.0,3604864.0,-4125810.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,864,1.095,8.896,-,10.855,,864.0,1095.0,8896.0,,10855.0
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,621,10.206,87.891,-,98.718,,621.0,10206.0,87891.0,,98718.0
II.,II.,II.,Chi phí,(301.277),(483.599),(5.511.394),4.125.810,(2.170.460),,-301277.0,-483599.0,-5511394.0,4125810.0,-2170460.0
II.,II.,II.,Chi phí lãi và các chi phí tương tự tử:,(259.791),(407.030),(4.967.868),4.125.810,(1.508.879),,-259791.0,-407030.0,-4967868.0,4125810.0,-1508879.0
II.,II.,II.,Khách hàng bên ngoài,(165.120),(220.684),(1.123.075),-,(1.508.879),,-165120.0,-220684.0,-1123075.0,,-1508879.0
II.,II.,II.,Nội bộ,(94.671),(186.346),(3.844.793),4.125.810,-,,-94671.0,-186346.0,-3844793.0,4125810.0,
2.,2.,2.,Chi phí khấu hao tài sản cố định,(1.017),(4.198),(42.391),-,(47.606),,-1017.0,-4198.0,-42391.0,,-47606.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(40.469),(72.371),(501.135),-,(613.975),,-40469.0,-72371.0,-501135.0,,-613975.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,20.597,32.702,179.819,-,233.118,,20597.0,32702.0,179819.0,,233118.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(12.997),(7.639),(71.393),-,(92.029),,-12997.0,-7639.0,-71393.0,,-92029.0
Kết quả kinh doanh bộ phận (trước thuế TNDN),Kết quả kinh doanh bộ phận (trước thuế TNDN),Kết quả kinh doanh bộ phận (trước thuế TNDN),Kết quả kinh doanh bộ phận (trước thuế TNDN),7.600,25.063,108.426,-,141.089,,7600.0,25063.0,108426.0,,141089.0
31/12/2016,31/12/2016,31/12/2016,31/12/2016,,,,,,,,,,,
I.,31/12/2016 > I.,I.,Tài sản,1.229.338,2.368.065,26.814.094,-,30.411.497,,1229338.0,2368065.0,26814094.0,,30411497.0
I.,31/12/2016 > I.,I.,Tiền mặt,40.567,38.488,219.991,-,299.046,,40567.0,38488.0,219991.0,,299046.0
2.,31/12/2016 > 2.,2.,Tài sản cố định,4.493,197.095,1.111.988,-,1.313.576,,4493.0,197095.0,1111988.0,,1313576.0
3.,31/12/2016 > 3.,3.,Tài sản khác,1.184.278,2.132.482,25.482.115,-,28.798.875,,1184278.0,2132482.0,25482115.0,,28798875.0
II.,31/12/2016 > II.,II.,Nợ phải trả,2.696.007,3.500.489,20.865.585,-,27.062.081,,2696007.0,3500489.0,20865585.0,,27062081.0
II.,31/12/2016 > II.,II.,Nợ phải trả khách hàng bên ngoài,2.694.910,3.498.232,20.779.278,-,26.972.420,,2694910.0,3498232.0,20779278.0,,26972420.0
2.,31/12/2016 > 2.,2.,Nợ phải trả khác,1.097,2.257,86.307,-,89.661,,1097.0,2257.0,86307.0,,89661.0
