row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,258.653,37.029,2.320,1.044,299.046,258653.0,37029.0,2320.0,1044.0,299046.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,877.801,23.977,-,-,901.778,877801.0,23977.0,,,901778.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,2.609.693,477.132,917,2.497,3.090.239,2609693.0,477132.0,917.0,2497.0,3090239.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,19.724.330,42.109,-,-,19.766.439,19724330.0,42109.0,,,19766439.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,3.049.857,-,-,-,3.049.857,3049857.0,,,,3049857.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",514.521,-,-,-,514.521,514521.0,,,,514521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.313.576,-,-,-,1.313.576,1313576.0,,,,1313576.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,1.774.030,-,-,-,1.774.030,1774030.0,,,,1774030.0
,,,30.122.461,580.247,3.237,3.541,30.709.486,30122461.0,580247.0,3237.0,3541.0,30709486.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,200.928,-,-,-,200.928,200928.0,,,,200928.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,3.143.998,333.477,-,-,3.477.475,3143998.0,333477.0,,,3477475.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,22.649.343,241.702,1.023,14,22.892.082,22649343.0,241702.0,1023.0,14.0,22892082.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,491.596,-,-,-,491.596,491596.0,,,,491596.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,3.349.416,-,-,-,3.349.416,3349416.0,,,,3349416.0
,,,29.835.281,575.179,1.023,14,30.411.497,29835281.0,575179.0,1023.0,14.0,30411497.0
Trạng thái tiền tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,287.180,5.068,2.214,3.527,297.989,287180.0,5068.0,2214.0,3527.0,297989.0
Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,-,-,-,-,,,,,
"Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ ngoại bằng > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",287.180,5.068,2.214,3.527,297.989,287180.0,5068.0,2214.0,3527.0,297989.0
