row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,361.987,67.544,2.691,969,433.191,361987.0,67544.0,2691.0,969.0,433191.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.229.557,22.025,-,-,2.251.582,2229557.0,22025.0,,,2251582.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,2.769.657,1.384.134,2.312,7.756,4.163.859,2769657.0,1384134.0,2312.0,7756.0,4163859.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,24.580.286,105.217,-,-,24.685.503,24580286.0,105217.0,,,24685503.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,2.309.805,-,-,-,2.309.805,2309805.0,,,,2309805.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",514.521,-,-,-,514.521,514521.0,,,,514521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.399.254,-,-,-,1.399.254,1399254.0,,,,1399254.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.020.427,-,-,-,2.020.427,2020427.0,,,,2020427.0
,,,36.185.494,1.578.920,5.003,8.725,37.778.142,36185494.0,1578920.0,5003.0,8725.0,37778142.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,5.703.923,1.324.115,-,-,7.028.038,5703923.0,1324115.0,,,7028038.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,25.977.143,248.966,968,91,26.227.168,25977143.0,248966.0,968.0,91.0,26227168.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,612.588,-,-,-,612.588,612588.0,,,,612588.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,3.531.802,-,-,-,3.531.802,3531802.0,,,,3531802.0
,,,35.825.456,1.573.081,968,91,37.399.596,35825456.0,1573081.0,968.0,91.0,37399596.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,360.038,5.839,4.035,8.634,378.546,360038.0,5839.0,4035.0,8634.0,378546.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,-,,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",360.038,5.839,4.035,8.634,378.546,360038.0,5839.0,4035.0,8634.0,378546.0
