row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019 (Triệu VND),USD,EUR,Tiền tệ khác,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,122.220,97.823,105.412,325.455,122220.0,97823.0,105412.0,325455.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,188.387,-,-,188.387,188387.0,,,188387.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,2.795.458,258.506,23.493,3.077.457,2795458.0,258506.0,23493.0,3077457.0
Công cụ tài chính phải sinh và tài sản tài chính khác,Tải sản > Công cụ tài chính phải sinh và tài sản tài chính khác,Công cụ tài chính phải sinh và tài sản tài chính khác,1.372.732,-,-,1.372.732,1372732.0,,,1372732.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.986.887,13.405,-,3.000.292,2986887.0,13405.0,,3000292.0
Tải sản Có khác - gộp,Tải sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,220.430,633,-,221.063,220430.0,633.0,,221063.0
,,,7.686.114,370.367,128.905,8.185.386,7686114.0,370367.0,128905.0,8185386.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,2.560.079,-,-,2.560.079,2560079.0,,,2560079.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,3.442.350,292.286,1.891,3.736.527,3442350.0,292286.0,1891.0,3736527.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,31.856,676,1.460,33.992,31856.0,676.0,1460.0,33992.0
,,,6.034.285,292.962,3.351,6.330.598,6034285.0,292962.0,3351.0,6330598.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,1.651.829,77.405,125.554,1.854.788,1651829.0,77405.0,125554.0,1854788.0
