row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,7.329.514.190.000,674.149.437.068,(638.500.000),891.436.091.839,5.549.332.356.102,22.916.810.301,14.466.710.385.310,7329514190000.0,674149437068.0,-638500000.0,891436091839.0,5549332356102.0,22916810301.0,14466710385310.0
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,-,-,81.850.000.000,81.850.000.000,,,,,,81850000000.0,81850000000.0
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,-,-,(62.879.064),(62.879.064),,,,,,-62879064.0,-62879064.0
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,-,6.602.102.000.272,4.100.726.657,6.606.202.726.929,,,,,6602102000272.0,4100726657.0,6606202726929.0
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",1.099.235.370.000,-,-,-,(1.099.235.370.000),-,-,1099235370000.0,,,,-1099235370000.0,,
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,-,(1.099.263.178.500),(2.985.656.062),(1.102.248.834.562),,,,,-1099263178500.0,-2985656062.0,-1102248834562.0
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,(454.500.000),-,454.500.000,-,-,,,-454500000.0,,454500000.0,,
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,264.979.655.374,(264.979.655.374),-,-,,,,264979655374.0,-264979655374.0,,
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,-,(215.655.983.165),-,(215.655.983.165),,,,,-215655983165.0,,-215655983165.0
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,-,(90.000.000),-,(90.000.000),,,,,-90000000.0,,-90000000.0
"Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác","Nhận góp vốn từ cổ đông không kiểm soát vào công ty con Ảnh hưởng thuần do thanh lý và hợp nhất các công ty con trong năm Lợi nhuận thuần trong năm Trả cổ tức bằng cổ phiếu (Thuyết minh 27) Trả cổ tức (Thuyết minh 27) Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ Phân bổ vào quỹ đầu tư phát triển Phân bổ vào quỹ khen thưởng, phúc lợi Thù lao thành viên Ban Kiểm soát Biến động khác",-,-,-,-,13.686.964.013,(131.301.497),13.555.662.516,,,,,13686964013.0,-131301497.0,13555662516.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,8.428.749.560.000,674.149.437.068,(1.093.000.000),1.156.415.747.213,9.486.351.633.348,105.687.700.335,19.850.261.077.964,8428749560000.0,674149437068.0,-1093000000.0,1156415747213.0,9486351633348.0,105687700335.0,19850261077964.0
