row_label_raw,row_label_full,STT,Công ty con cấp 1,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1,numeric__Công ty con cấp 1,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1
STT,STT,STT,Công ty con cấp 1,Hoạt động chính,31/12/2017,1/1/2017,,,,
1,STT > 1,1,Công ty CP Đầu tư Khoáng sản An Thông,"Thăm dò, khai thác, tuyển luyện, chế biến, xuất nhập khẩu khoáng sản nói chung trong đó chủ yếu là quặng sắt.","99,96%","99,96%",,,0.9995999999999999,0.9995999999999999
2,STT > 2,2,Công ty CP Năng lượng Hòa Phát (i),"Sản xuất và bán buôn than cốc, khai thác và thu gom than cứng; sản xuất sản phẩm dầu mỏ tính chế; bán buôn kim loại và quặng kim loại; và buôn bán than luyện cốc và than các loại.",-,"99,89%",,,,0.9989
3,STT > 3,3,Công ty CP Thép Hòa Phát Hải Dương (trước đây là Công ty CP Thép Hòa Phát),"Sản xuất thép, gang, khai thác quặng sắt, khai thác và thu gom than non; bán buôn kim loại và quặng kim loại; và sản xuất, mua bán than cốc.","99,998%","99,998%",,,0.9999800000000001,0.9999800000000001
4,STT > 4,4,Công ty CP Thép Hòa Phát Dung Quát (ii),"Sản xuất sắt, thép, gang, khai thác quặng sắt; bán buôn kim loại và quặng kim loại; sản xuất mua bán than cốc và các ngành nghề liên quan khác.","99,999%",-,,,0.9999899999999999,
5,STT > 5,5,Công ty TNHH Thép Hòa Phát Hưng Yên (trước đây là Công ty TNHH MTV Thép Hòa Phát),"Sản xuất sắt, thép, gang; bán buôn kim loại và quặng kim loại.",100%,100%,,,1.0,1.0
6,STT > 6,6,Công ty TNHH Ông thép Hòa Phát,Sản xuất và kinh doanh thương mại ống thép.,"99,95%","99,94%",,,0.9995,0.9994
7,STT > 7,7,Công ty TNHH MTV Tôn Hòa Phát,"Sản xuất và kinh doanh các loại tôn mạ kẽm, tôn mạ màu và tôn mạ lạnh.",100%,100%,,,1.0,1.0
8,STT > 8,8,Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Sản xuất thiết bị xây dựng; kinh doanh thương mại máy móc và thiết bị xây dựng và khai thác khoáng sản loại nhỏ và vừa.,"99,72%","99,72%",,,0.9972,0.9972
9,STT > 9,9,Công ty CP Nội thất Hòa Phát,Sản xuất và kinh doanh thương mại các sản phẩm nội thất.,"99,60%","99,60%",,,0.996,0.996
10,STT > 10,10,Công ty TNHH Điện lạnh Hòa Phát,Sản xuất và kinh doanh thương mại sản phẩm điện lạnh.,"99,67%","99,67%",,,0.9967,0.9967
11,STT > 11,11,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,"Xây dựng dân dụng; xây dựng công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà, văn phòng; đầu tư và xây đồng bộ hạ tầng kỹ thuật.","99,67%","99,67%",,,0.9967,0.9967
12,STT > 12,12,Công ty CP Golden Gain Việt Nam (iii),Kinh doanh bất động sản.,-,"99,99%",,,,0.9998999999999999
13,STT > 13,13,Công ty CP Phát triển Nông nghiệp Hòa Phát,"Chăn nuôi gia súc, gia cầm; trồng trọt; các hoạt động dịch vụ trồng trọt, chăn nuôi, sau thu hoạch; sản xuất thức ăn gia súc, gia cầm và thủy sản.","99,999%","99,999%",,,0.9999899999999999,0.9999899999999999
