row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,324.103,284.663,324103.0,284663.0
Các khoản phải trả nhân viên,Các khoản phải trả nhân viên,Các khoản phải trả nhân viên,270.625,258.518,270625.0,258518.0
Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),53.478,26.145,53478.0,26145.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.067.682,1.809.773,1067682.0,1809773.0
Các khoản phải trả trong dịch vụ thanh toán chuyển tiền nhanh,Các khoản phải trả trong dịch vụ thanh toán chuyển tiền nhanh,Các khoản phải trả trong dịch vụ thanh toán chuyển tiền nhanh,580.478,1.518.204,580478.0,1518204.0
Thuế và các khoản phải trả ngân sách nhà nước,Thuế và các khoản phải trả ngân sách nhà nước,Thuế và các khoản phải trả ngân sách nhà nước,364.781,120.004,364781.0,120004.0
Các khoản chờ thanh toán trong nghiệp vụ thanh toán,Các khoản chờ thanh toán trong nghiệp vụ thanh toán,Các khoản chờ thanh toán trong nghiệp vụ thanh toán,26.174,55.755,26174.0,55755.0
Các khoản phải trả trong dịch vụ thanh toán thể,Các khoản phải trả trong dịch vụ thanh toán thể,Các khoản phải trả trong dịch vụ thanh toán thể,43.674,38.116,43674.0,38116.0
Doanh thu từ hoạt động môi giới bảo hiểm chờ phân bổ,Doanh thu từ hoạt động môi giới bảo hiểm chờ phân bổ,Doanh thu từ hoạt động môi giới bảo hiểm chờ phân bổ,,31.752,,31752.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,17.472,16.542,17472.0,16542.0
Phải trả về kinh phí công đoàn,Phải trả về kinh phí công đoàn,Phải trả về kinh phí công đoàn,4.183,6.265,4183.0,6265.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,3.866,4.092,3866.0,4092.0
Doanh thu chờ phân bổ khác,Doanh thu chờ phân bổ khác,Doanh thu chờ phân bổ khác,3.222,1.587,3222.0,1587.0
Phải trả khác,Phải trả khác,Phải trả khác,23.832,17.456,23832.0,17456.0
,,,1.391.785,2.094.436,1391785.0,2094436.0
