row_label_raw,row_label_full,col_0,01/01/2025VND,TăngVND,GiảmVND,Chênh lệch tỷ giáVND,31/12/2025VND,numeric__01/01/2025VND,numeric__TăngVND,numeric__GiảmVND,numeric__Chênh lệch tỷ giáVND,numeric__31/12/2025VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),11.672.416.788.911,50.775.577.612.042,(42.918.199.848.607),3.051.093.908,19.532.845.646.254,11672416788911.0,50775577612042.0,-42918199848607.0,3051093908.0,19532845646254.0
Vay dài hạn đến hạn trả(Thuyết minh số 23.1(b) (*)),Vay dài hạn đến hạn trả(Thuyết minh số 23.1(b) (*)),Vay dài hạn đến hạn trả(Thuyết minh số 23.1(b) (*)),258.487.821.008,1.119.987.760.410,(298.223.427.008),(6.514.394.000),1.073.737.760.410,258487821008.0,1119987760410.0,-298223427008.0,-6514394000.0,1073737760410.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 23.1(b) (**)),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 23.1(b) (**)),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 23.1(b) (**)),-,5.000.000.000.000,-,-,5.000.000.000.000,,5000000000000.0,,,5000000000000.0
Bên liên quan (**),Bên liên quan (**),Bên liên quan (**),115.000.000.000,-,(90.000.000.000),-,25.000.000.000,115000000000.0,,-90000000000.0,,25000000000.0
Bên khác (***),Bên khác (***),Bên khác (***),95.000.000.000,300.000.000.000,(300.000.000.000),,95.000.000.000,95000000000.0,300000000000.0,-300000000000.0,,95000000000.0
,,,12.140.904.609.919,57.195.565.372.452,(43.606.423.275.615),(3.463.300.092),25.726.583.406.664,12140904609919.0,57195565372452.0,-43606423275615.0,-3463300092.0,25726583406664.0
