row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chu sở hữu VND,Ngườn kính phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chu sở hữu VND,numeric__Ngườn kính phí và các quỹ khác VND,numeric__Tổng cộng VND
Cô tức,Cô tức,Cô tức,-,-,-,-,-,(300.000.000.000),-,(154.668.017.443),(454.668.017.443),-,(454.668.017.443),,,,,,-300000000000.0,,-154668017443.0,-454668017443.0,,-454668017443.0
Giam do thời vốn đầu tư vào các công ty con,Giam do thời vốn đầu tư vào các công ty con,Giam do thời vốn đầu tư vào các công ty con,-,-,(6.365.250.000),-,-,-,-,(204.647.177.843),(211.012.427.843),-,(211.012.427.843),,,-6365250000.0,,,,,-204647177843.0,-211012427843.0,,-211012427843.0
Thay đốt ty lệ lợi ích tai các công ty con mà không làm,Thay đốt ty lệ lợi ích tai các công ty con mà không làm,Thay đốt ty lệ lợi ích tai các công ty con mà không làm,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Thay đốt quyền kiểm soát với các công ty con này,Thay đốt ty lệ lợi ích tai các công ty con mà không làm > Thay đốt quyền kiểm soát với các công ty con này,Thay đốt quyền kiểm soát với các công ty con này,-,-,-,-,-,3.958.575.150,-,(3.958.575.150),-,-,-,,,,,,3958575150.0,,-3958575150.0,,,
Mưa thêm ty lệ lợi ích tai công ty con từ các,Mưa thêm ty lệ lợi ích tai công ty con từ các,Mưa thêm ty lệ lợi ích tai công ty con từ các,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
cổ đông không kiểm soát,Mưa thêm ty lệ lợi ích tai công ty con từ các > cổ đông không kiểm soát,cổ đông không kiểm soát,-,-,-,-,-,(41.921.339.560),-,(9.378.660.440),(51.300.000.000),-,(51.300.000.000),,,,,,-41921339560.0,,-9378660440.0,-51300000000.0,,-51300000000.0
Các biển đông khác về vốn chu sở hữu,Mưa thêm ty lệ lợi ích tai công ty con từ các > Các biển đông khác về vốn chu sở hữu,Các biển đông khác về vốn chu sở hữu,-,-,3.823.815.234,727.901.159,(3.371.305.295),(1.368.837.950),-,13.194.008.435,13.005.581.583,-,13.005.581.583,,,3823815234.0,727901159.0,-3371305295.0,-1368837950.0,,13194008435.0,13005581583.0,,13005581583.0
Số dư tại ngày 1/1/2020 – đã điều chỉnh lại,Mưa thêm ty lệ lợi ích tai công ty con từ các > Số dư tại ngày 1/1/2020 – đã điều chỉnh lại,Số dư tại ngày 1/1/2020 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,39.707.195.973,(751.951.666.799),543.609.956.752,745.261.787.239,550.677.792.232,1.748.015.965.351,7.905.682.963.100,28.339.397.982,7.934.022.361.082,5000000000000.0,30361932352.0,39707195973.0,-751951666799.0,543609956752.0,745261787239.0,550677792232.0,1748015965351.0,7905682963100.0,28339397982.0,7934022361082.0
Vốn góp/vốn cổ phần,Mưa thêm ty lệ lợi ích tai công ty con từ các > Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,-,-,-,-,-,37.397.156.000,37.397.156.000,-,37.397.156.000,,,,,,,,37397156000.0,37397156000.0,,37397156000.0
Lợi nhuận thuần trong năm,Mưa thêm ty lệ lợi ích tai công ty con từ các > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,327.655.808.809,-,232.885.381.919,560.541.190.728,-,560.541.190.728,,,,,,327655808809.0,,232885381919.0,560541190728.0,,560541190728.0
Phân bổ vào các quỹ,Mưa thêm ty lệ lợi ích tai công ty con từ các > Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,42.475.461.423,(42.475.461.423),-,-,-,-,-,,,,,42475461423.0,-42475461423.0,,,,,
"Phân bổ vào quỹ khien thưởng, phúc loi","Mưa thêm ty lệ lợi ích tai công ty con từ các > Phân bổ vào quỹ khien thưởng, phúc loi","Phân bổ vào quỹ khien thưởng, phúc loi",-,-,-,-,-,(42.885.345.312),-,(28.988.179.014),(71.873.524.326),-,(71.873.524.326),,,,,,-42885345312.0,,-28988179014.0,-71873524326.0,,-71873524326.0
Sư dụng các quỹ,Mưa thêm ty lệ lợi ích tai công ty con từ các > Sư dụng các quỹ,Sư dụng các quỹ,-,-,-,-,-,-,-,-,-,(2.041.627.020),(2.041.627.020),,,,,,,,,,-2041627020.0,-2041627020.0
Cô tức,Mưa thêm ty lệ lợi ích tai công ty con từ các > Cô tức,Cô tức,-,-,-,-,-,(250.000.000.000),-,(112.686.866.500),(362.686.866.500),-,(362.686.866.500),,,,,,-250000000000.0,,-112686866500.0,-362686866500.0,,-362686866500.0
Giảm do thời vốn đầu tư vào công ty con,Mưa thêm ty lệ lợi ích tai công ty con từ các > Giảm do thời vốn đầu tư vào công ty con,Giảm do thời vốn đầu tư vào công ty con,-,-,-,-,-,-,-,(8.388.642.470),(8.388.642.470),-,(8.388.642.470),,,,,,,,-8388642470.0,-8388642470.0,,-8388642470.0
Thay đốt ty lệ lợi ích tai các công ty con mà không làm thay đốt quyền kiểm soát o các công ty con này,Mưa thêm ty lệ lợi ích tai công ty con từ các > Thay đốt ty lệ lợi ích tai các công ty con mà không làm thay đốt quyền kiểm soát o các công ty con này,Thay đốt ty lệ lợi ích tai các công ty con mà không làm thay đốt quyền kiểm soát o các công ty con này,-,-,-,-,-,(8.311.972.936),-,8.311.972.936,-,-,-,,,,,,-8311972936.0,,8311972936.0,,,
Chia cổ tức bằng cổ phiếu ở công ty con,Mưa thêm ty lệ lợi ích tai công ty con từ các > Chia cổ tức bằng cổ phiếu ở công ty con,Chia cổ tức bằng cổ phiếu ở công ty con,-,-,2.600.000.000,-,-,(2.600.000.000),-,-,-,-,-,,,2600000000.0,,,-2600000000.0,,,,,
Các biển đông khác về vốn chu sở hữu,Mưa thêm ty lệ lợi ích tai công ty con từ các > Các biển đông khác về vốn chu sở hữu,Các biển đông khác về vốn chu sở hữu,-,-,-,-,-,(9.889.422.538),(7.584.947.137),(878.780.207),(18.353.149.882),-,(18.353.149.882),,,,,,-9889422538.0,-7584947137.0,-878780207.0,-18353149882.0,,-18353149882.0
Số dư tại ngày 31/12/2020,Mưa thêm ty lệ lợi ích tai công ty con từ các > Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,5.000.000.000.000,30.361.932.352,42.307.195.973,(751.951.666.799),586.085.418.175,716.755.393.839,543.092.845.095,1.875.668.008.015,8.042.319.126.650,26.297.770.962,8.068.616.897.612,5000000000000.0,30361932352.0,42307195973.0,-751951666799.0,586085418175.0,716755393839.0,543092845095.0,1875668008015.0,8042319126650.0,26297770962.0,8068616897612.0
