row_label_raw,row_label_full,col_0,Công nghiệpđệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpđệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,,,,,
Tài sản của bộ phận,Tại ngày 1/1/2020 – đã điều chỉnh lại > Tài sản của bộ phận,Tài sản của bộ phận,22.058.739.457.980,125.635.861.551,1.084.662.475.657,(5.595.190.019.108),17.673.847.776.080,22058739457980.0,125635861551.0,1084662475657.0,-5595190019108.0,17673847776080.0
Khoản đầu tư vào công ty liên kết,Tại ngày 1/1/2020 – đã điều chỉnh lại > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.499.930.071.718,912.560.000,307.875.000,641.523.997.667,2.142.674.504.385,1499930071718.0,912560000.0,307875000.0,641523997667.0,2142674504385.0
Tổng tài sản của bộ phận,Tại ngày 1/1/2020 – đã điều chỉnh lại > Tổng tài sản của bộ phận,Tổng tài sản của bộ phận,23.558.669.529.698,126.548.421.551,1.084.970.350.657,(4.953.666.021.441),19.816.522.280.465,23558669529698.0,126548421551.0,1084970350657.0,-4953666021441.0,19816522280465.0
Tổng nợ phải trả của bộ phận,Tại ngày 1/1/2020 – đã điều chỉnh lại > Tổng nợ phải trả của bộ phận,Tổng nợ phải trả của bộ phận,13.359.910.694.509,349.782.590.217,653.113.034.473,(2.480.306.399.816),11.882.499.919.383,13359910694509.0,349782590217.0,653113034473.0,-2480306399816.0,11882499919383.0
Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,,,,,
Chi tiêu vốn,Năm 2019 > Chi tiêu vốn,Chi tiêu vốn,719.019.254.398,2.473.220.000,110.841.772.130,(71.494.278.215),760.839.968.313,719019254398.0,2473220000.0,110841772130.0,-71494278215.0,760839968313.0
Khấu hao tài sản cố định hữu hình,Năm 2019 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,774.916.240.634,1.718.901.416,37.141.645.609,(26.898.514.820),786.878.272.839,774916240634.0,1718901416.0,37141645609.0,-26898514820.0,786878272839.0
Khấu hao tài sản cố định hữu hìnhthuệ tài chính,Năm 2019 > Khấu hao tài sản cố định hữu hìnhthuệ tài chính,Khấu hao tài sản cố định hữu hìnhthuệ tài chính,7.374.697.038,-,-,-,7.374.697.038,7374697038.0,,,,7374697038.0
Khấu hao tài sản cố định vô hình,Năm 2019 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,12.944.552.184,-,75.714.288,4.070.064,13.024.336.536,12944552184.0,,75714288.0,4070064.0,13024336536.0
Khấu hao bất động sản đầu tư,Năm 2019 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,8.130.515.609,207.734.004,5.147.094.631,-,13.485.344.244,8130515609.0,207734004.0,5147094631.0,,13485344244.0
