row_label_raw,row_label_full,2. Các khoản đầu tư tài chính,2. Các khoản đầu tư tài chính_1,2. Các khoản đầu tư tài chính_2,2. Các khoản đầu tư tài chính_3,2. Các khoản đầu tư tài chính_4,2. Các khoản đầu tư tài chính_5,2. Các khoản đầu tư tài chính_6,numeric__2. Các khoản đầu tư tài chính_1,numeric__2. Các khoản đầu tư tài chính_2,numeric__2. Các khoản đầu tư tài chính_3,numeric__2. Các khoản đầu tư tài chính_4,numeric__2. Các khoản đầu tư tài chính_5,numeric__2. Các khoản đầu tư tài chính_6
2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Cổ phiếu niêm yết,2.1 Chứng khoán kinh doanh > Cổ phiếu niêm yết,Cổ phiếu niêm yết,13.500.000.000,5.130.000.000,(8.259.545.455),13.500.000.000,5.670.000.000,(7.830.000.000),13500000000.0,5130000000.0,-8259545455.0,13500000000.0,5670000000.0,-7830000000.0
Công ty cổ phần Đầu tư Kinh doanh Tổng hợp Điện Lục Thành phố Hồ Chí Minh - Mã HTE (1.350.000 CP),2.1 Chứng khoán kinh doanh > Công ty cổ phần Đầu tư Kinh doanh Tổng hợp Điện Lục Thành phố Hồ Chí Minh - Mã HTE (1.350.000 CP),Công ty cổ phần Đầu tư Kinh doanh Tổng hợp Điện Lục Thành phố Hồ Chí Minh - Mã HTE (1.350.000 CP),13.500.000.000,5.130.000.000,(8.259.545.455),13.500.000.000,5.670.000.000,(7.830.000.000),13500000000.0,5130000000.0,-8259545455.0,13500000000.0,5670000000.0,-7830000000.0
Cổ phiếu chưa niêm yết,2.1 Chứng khoán kinh doanh > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,14.774.992.543,(*),(8.910.868.283),14.774.992.543,(*),(7.926.098.581),14774992543.0,,-8910868283.0,14774992543.0,,-7926098581.0
Công ty cổ phần Bến Thành Non Nước (1.477.294 CP),2.1 Chứng khoán kinh doanh > Công ty cổ phần Bến Thành Non Nước (1.477.294 CP),Công ty cổ phần Bến Thành Non Nước (1.477.294 CP),14.772.940.000,,(8.910.868.283),14.772.940.000,,(7.926.098.581),14772940000.0,,-8910868283.0,14772940000.0,,-7926098581.0
Công ty cổ phần Chứng khoán Hải Phòng (771 CP),2.1 Chứng khoán kinh doanh > Công ty cổ phần Chứng khoán Hải Phòng (771 CP),Công ty cổ phần Chứng khoán Hải Phòng (771 CP),2.052.543,,-,2.052.543,,-,2052543.0,,,2052543.0,,
Cộng,2.1 Chứng khoán kinh doanh > Cộng,Cộng,28.274.992.543,,(17.170.413.738),28.274.992.543,,(15.756.098.581),28274992543.0,,-17170413738.0,28274992543.0,,-15756098581.0
"(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi số.",,,,,,
