row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,31/12/2023VND,01/01/2023VND,numeric__Mối quan hệ,numeric__31/12/2023VND,numeric__01/01/2023VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,19.300.391.950,19.700.484.430,,19300391950.0,19700484430.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,17.298.568.750,17.298.568.750,,17298568750.0,17298568750.0
Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Công ty liên kết,2.001.823.200,2.401.915.680,,2001823200.0,2401915680.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,9.500.000.000,9.500.000.000,,9500000000.0,9500000000.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,9.500.000.000,9.500.000.000,,9500000000.0,9500000000.0
Phải thu khác,Phải thu khác,Phải thu khác,,28.000.000.000,28.000.000.000,,28000000000.0,28000000000.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,28.000.000.000,28.000.000.000,,28000000000.0,28000000000.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,119.547.800,-,,119547800.0,
Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty Cổ phần Lương thực thực phẩm COLUSA-MILIKET,Công ty liên kết,119.547.800,-,,119547800.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,73.226.957.750,73.226.957.750,,73226957750.0,73226957750.0
Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,Công ty con,73.226.957.750,73.226.957.750,,73226957750.0,73226957750.0
