row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,2.000.010.000.000,-,-,782.098.071.882,2.952.838.853.639,5.734.946.925.521,2000010000000.0,,,782098071882.0,2952838853639.0,5734946925521.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.538.230.348.885,431.721.943.265,1.969.952.292.150,,,,1538230348885.0,431721943265.0,1969952292150.0
Cổ tức đã phân phối,Cổ tức đã phân phối,Cổ tức đã phân phối,-,-,-,(1.350.006.750.000),-,(1.350.006.750.000),,,,-1350006750000.0,,-1350006750000.0
Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,-,-,-,-,(33.823.342.479),(33.823.342.479),,,,,-33823342479.0,-33823342479.0
Mua lại công cụ vốn chủ sở hữu,Mua lại công cụ vốn chủ sở hữu,Mua lại công cụ vốn chủ sở hữu,-,-,(175.543.000.000),-,-,(175.543.000.000),,,-175543000000.0,,,-175543000000.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,(99.857.015.536),(1.630.688.156.064),(1.730.545.171.600),,,,-99857015536.0,-1630688156064.0,-1730545171600.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,2.000.010.000.000,-,(175.543.000.000),870.464.655.231,1.720.049.298.361,4.414.980.953.592,2000010000000.0,,-175543000000.0,870464655231.0,1720049298361.0,4414980953592.0
Phát hành cổ phiếu (Thuyết minh 21),Phát hành cổ phiếu (Thuyết minh 21),Phát hành cổ phiếu (Thuyết minh 21),162.162.970.000,3.200.196.495.149,-,-,-,3.362.359.465.149,162162970000.0,3200196495149.0,,,,3362359465149.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,629.043.627.720,167.912.126.863,796.955.754.583,,,,629043627720.0,167912126863.0,796955754583.0
Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,-,-,-,-,(31.463.574.400),(31.463.574.400),,,,,-31463574400.0,-31463574400.0
Góp vốn bởi cổ đông không kiểm soát vào một công ty con,Góp vốn bởi cổ đông không kiểm soát vào một công ty con,Góp vốn bởi cổ đông không kiểm soát vào một công ty con,-,-,-,-,10.000.000,10.000.000,,,,,10000000.0,10000000.0
Ảnh hưởng của việc sáp nhập (Thuyết minh 5(d)),Ảnh hưởng của việc sáp nhập (Thuyết minh 5(d)),Ảnh hưởng của việc sáp nhập (Thuyết minh 5(d)),10.020.000,-,-,(15.126.033),5.106.033,-,10020000.0,,,-15126033.0,5106033.0,
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,2.162.182.990.000,3.200.196.495.149,(175.543.000.000),1.499.493.156.918,1.856.512.956.857,8.542.842.598.924,2162182990000.0,3200196495149.0,-175543000000.0,1499493156918.0,1856512956857.0,8542842598924.0
