row_label_raw,row_label_full,Dự án Khu đô thị mới Nam Vĩnh Yên (i),31/12/2021VND > 1.903.832.739.363,01/01/2021VND > 2.110.409.389.056,numeric__31/12/2021VND > 1.903.832.739.363,numeric__01/01/2021VND > 2.110.409.389.056
Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),182.184.448.198,531.934.780.859,182184448198.0,531934780859.0
Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,328.167.936.838,347.668.344.580,328167936838.0,347668344580.0
"Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch",151.647.752.450,312.694.867.834,151647752450.0,312694867834.0
"Dự án Khu dân cư Phường 4, Hậu Giang (i)","Dự án Khu dân cư Phường 4, Hậu Giang (i)","Dự án Khu dân cư Phường 4, Hậu Giang (i)",384.487.815.123,276.510.101.542,384487815123.0,276510101542.0
"Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu",278.262.411.361,278.262.411.361,278262411361.0,278262411361.0
"Dự án Khu du lịch Long Tân, Nhơn Trạch","Dự án Khu du lịch Long Tân, Nhơn Trạch","Dự án Khu du lịch Long Tân, Nhơn Trạch",118.691.742.123,52.451.215.273,118691742123.0,52451215273.0
"Dự án Khu trung tâm Chí Linh, Vũng Tàu (i)","Dự án Khu trung tâm Chí Linh, Vũng Tàu (i)","Dự án Khu trung tâm Chí Linh, Vũng Tàu (i)",5.271.886.982,50.608.246.766,5271886982.0,50608246766.0
"Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu",39.715.428.238,7.677.086.040,39715428238.0,7677086040.0
Dự án Chung cư Vũng Tàu Gateway,Dự án Chung cư Vũng Tàu Gateway,Dự án Chung cư Vũng Tàu Gateway,,11.644.473.689,,11644473689.0
"Dự án Khu nhà ở Lam Hạ Center Point, Thành phố Phú Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, Thành phố Phú Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, Thành phố Phú Lý, Hà Nam",61.131.433.437,29.649.846.262,61131433437.0,29649846262.0
Các dự án khác,Các dự án khác,Các dự án khác,92.819.888.531,46.556.669.675,92819888531.0,46556669675.0
Cộng,Cộng,Cộng,3.546.213.482.644,4.056.067.432.937,3546213482644.0,4056067432937.0
