row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND Dự phòng,Số cuối năm > Giá gốc_1,Số đầu năm > Giá trị hợp lý,Số đầu năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VND Dự phòng
Công ty Cổ phần Năng lượng Sông Hồng (iii),b2. Đầu tư vào công ty liên kết > Công ty Cổ phần Năng lượng Sông Hồng (iii),Công ty Cổ phần Năng lượng Sông Hồng (iii),32.887.500.000,,-,32.887.500.000,,-,32887500000.0,,,32887500000.0,,
Công ty Cổ phần Điện khí LNG Quảng Ninh (iii),b2. Đầu tư vào công ty liên kết > Công ty Cổ phần Điện khí LNG Quảng Ninh (iii),Công ty Cổ phần Điện khí LNG Quảng Ninh (iii),30.000.000.000,,837.346.063,-,,-,30000000000.0,,837346063.0,,,
,,,365.182.801.000,,837.346.063,335.182.801.000,,-,365182801000.0,,837346063.0,335182801000.0,,
b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,,,,,,
Công ty Cổ phần Điện Việt Lào (iii),b3. Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Điện Việt Lào (iii),Công ty Cổ phần Điện Việt Lào (iii),317.549.656.500,,-,317.549.656.500,,-,317549656500.0,,,317549656500.0,,
Công ty Cổ phần Thủy điện Sông Tranh 3 (iii),b3. Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Thủy điện Sông Tranh 3 (iii),Công ty Cổ phần Thủy điện Sông Tranh 3 (iii),29.341.800.000,,6.313.919.564,29.341.800.000,,6.313.919.564,29341800000.0,,6313919564.0,29341800000.0,,6313919564.0
Công ty Cổ phần EVN Quốc tế (ii),b3. Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần EVN Quốc tế (ii),Công ty Cổ phần EVN Quốc tế (ii),28.222.000.000,69.990.560.000,-,28.222.000.000,56.444.000.000,-,28222000000.0,69990560000.0,,28222000000.0,56444000000.0,
Công ty Cổ phần Phát triển Đô thị Dầu khí (iii),b3. Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phát triển Đô thị Dầu khí (iii),Công ty Cổ phần Phát triển Đô thị Dầu khí (iii),18.202.000.000,,18.202.000.000,18.202.000.000,,18.202.000.000,18202000000.0,,18202000000.0,18202000000.0,,18202000000.0
Công ty Cổ phần Cơ điện Dầu khí (iii),b3. Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Cơ điện Dầu khí (iii),Công ty Cổ phần Cơ điện Dầu khí (iii),1.000.000.000,,260.237.063,1.000.000.000,,260.237.063,1000000000.0,,260237063.0,1000000000.0,,260237063.0
,,,394.315.456.500,,24.776.156.627,394.315.456.500,,24.776.156.627,394315456500.0,,24776156627.0,394315456500.0,,24776156627.0
